"TARN BANK, CUMBERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY073296,Long,-3.4374,Lat,54.6538,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,3.23,10.96,,,,,,,,,,,,6.89,3.24,3.9,8.03,3.85,4.32,6.03,4.68,,,,,,,,,
February,,,,,,,,,,,4.84,3.38,,,,,,,,,,,,3.24,2.13,3.44,4.92,2.69,5.69,6.53,3.06,,,,,,,,,
March,,,,,,,,,,,1.03,2.71,,,,,,,,,,,,1.23,3.67,2.51,3.07,1.38,7.38,0.92,2.34,,,,,,,,,
April,,,,,,,,,,,2.79,2.3,,,,,,,,,,,,3.4,2.28,0.75,1.09,5.05,2.78,2.87,2.17,,,,,,,,,
May,,,,,,,,,,,1.6,0.94,,,,,,,,,,,,3.76,2.16,6.77,1.98,2.15,2.68,2.12,3.84,,,,,,,,,
June,,,,,,,,,,,2.38,2.26,,,,,,,,,,,,5.07,3.33,0.8,2.46,1.56,1.19,1.77,2.34,,,,,,,,,
July,,,,,,,,,,,5.65,3.55,,,,,,,,,,,,1.37,1.71,3.71,4.48,3.7,0.86,2.31,1.13,,,,,,,,,
August,,,,,,,,,,,4.53,3.7,,,,,,,,,,,,3.79,3.41,3.59,3.65,3.68,3.71,1.86,2.19,,,,,,,,,
September,,,,,,,,,,,2.54,2.42,,,,,,,,,,,,6.66,5.74,2.28,7.02,4.69,1.82,7.53,3.45,,,,,,,,,
October,,,,,,,,,,,4.53,4.82,,,,,,,,,,,,5.81,3.2,3.62,2.49,4.64,6.34,4.05,7.86,,,,,,,,,
November,,,,,,,,,,,4.84,1.17,,,,,,,,,,,,6.7,5.02,4.24,6.53,0.79,1.56,6.1,3.12,,,,,,,,,
December,,,,,,,,,,,3.06,2.56,,,,,,,,,,,,3.85,6.88,4.85,5.78,3.71,8.72,5.62,1.62,,,,,,,,,
Total,,,,,,,,,,38.71,41.02,40.77,,,,,,,,,,,,51.77,42.77,40.46,51.5,37.89,47.05,47.71,37.8,,,,,,,,,
