"TARNBANK, COCKERMOUTH 5' above ground level",,,,,,,,,,,,,,,,,,,,
Grid ref,NY073296,Long,-3.4374,Lat,54.6538,Elevation,225,ft,,,,,,,,,,,,
Station no,RR1145,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.47,2.99,3.64,8.18,3.62,,6.08,4.66,,,,,,,,,
February,,,,3.04,2,3.27,4.73,2.5,,6.43,2.96,,,,,,,,,
March,,,,1.16,3.38,2.41,2.94,1.26,,0.75,2.3,,,,,,,,,
April,,,,3.21,2.17,0.67,1,5.09,,2.82,2.11,,,,,,,,,
May,,,,3.44,2.11,6.61,1.93,2,,1.93,4.03,,,,,,,,,
June,,,,4.81,3.23,0.75,2.42,1.58,,1.73,2.39,,,,,,,,,
July,,,,1.29,1.7,3.59,4.49,3.62,,2.25,1.04,,,,,,,,,
August,,,,3.58,3.36,3.49,3.46,3.63,,1.72,2.15,,,,,,,,,
September,,,,6.39,5.68,2.25,6.97,4.62,,7.45,3.32,,,,,,,,,
October,,,,5.54,3.06,3.51,2.47,4.6,,3.84,7.68,,,,,,,,,
November,,,,6.18,5,4.12,6.4,0.72,,6.62,3.06,,,,,,,,,
December,,,,3.52,6.84,4.95,5.81,3.54,,5.45,1.5,,,,,,,,,
Total,,,,48.63,41.52,39.26,50.8,36.78,,47.07,37.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1869 July,,,,,,,,,,,,,,,,,,,,
