"TARN BANK, COCKERMOUTH - gauge on roof",,,,,,,,,,,,,,,,,,,,
Grid ref,NY073296,Long,-3.4374,Lat,54.6538,Elevation,225,ft,,,,,,,,,,,,
Station no,RR1145,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.99,2.31,,4.09,3.35,,,,,,,,,
February,,,,,,,3.65,1.58,,4.24,2,,,,,,,,,
March,,,,,,,2.27,0.78,,0.43,1.42,,,,,,,,,
April,,,,,,,0.81,3.64,,1.96,1.54,,,,,,,,,
May,,,,,,,1.39,1.46,,1.36,2.81,,,,,,,,,
June,,,,,,,1.75,1.19,,1.33,1.93,,,,,,,,,
July,,,,,,,3.59,3.08,,1.78,0.86,,,,,,,,,
August,,,,,,,2.78,2.92,,1.4,1.89,,,,,,,,,
September,,,,,,,5.63,3.91,,6.25,2.71,,,,,,,,,
October,,,,,,,1.82,3.62,,3.13,5.98,,,,,,,,,
November,,,,,,,4.65,0.52,,4.47,2.42,,,,,,,,,
December,,,,,,,3.92,2.6,,3.54,1.03,,,,,,,,,
Total,,,,,,,38.25,27.61,,33.98,27.94,,,,,,,,,
