LOCHGILPHEAD AUCHNABA,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 90263 85837,Long,-5.3668,Lat,56.019409,Elevation,40,ft,,,,,,,,,,,,
Station no,RR6117,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,8.61,8.76,6.12,8.09,5.82,9.11,7.87,2.2,3.19,,,,,,,,,
February,,,5.64,0.96,2.57,1.91,4.54,8.19,3.07,2.37,5.72,,,,,,,,,
March,,,4.25,3.02,5.51,2.5,8.51,4.22,3.69,5.12,3.95,,,,,,,,,
April,,,1.61,0.8,2.96,2.7,1.58,2.33,3.35,1.69,2.86,,,,,,,,,
May,,,2.99,2.94,1.86,3.59,0.89,2.77,3.76,2.78,2.31,,,,,,,,,
June,,,7.9,2.66,2.01,3.61,4.81,5.4,4.18,4.05,4.48,,,,,,,,,
July,,,4.46,6.37,3.43,2.29,4.27,5.64,1.36,6.42,3.12,,,,,,,,,
August,,,5.05,6.43,4.05,5.53,5.96,5.51,4.34,5.88,2.41,,,,,,,,,
September,,,8.67,5.26,6.74,5.67,3.27,2.13,7.76,8.54,4.66,,,,,,,,,
October,,,5.53,8.37,9.49,6.48,8.4,9.37,8.56,4,1.24,,,,,,,,,
November,,,7.7,3.96,5.27,5.76,1.84,9.44,1.64,2.3,6.48,,,,,,,,,
December,,,6.46,4.84,1.98,6.39,7.14,10.37,2.14,4.76,7.42,,,,,,,,,
Total,,,68.87,54.37,51.99,54.52,57.03,74.48,51.72,50.11,47.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6117,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
