HARTLEBURY,,,,,,,,,,
Grid ref,SO853706,Long,-2.217151,Lat,52.333287,Elevation,190,ft,,
Station no,2409/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.94
February,,,,,,,,,,1.72
March,,,,,,,,,,1.07
April,,,,,,,,,,0.79
May,,,,,,,,,,1.3
June,,,,,,,,,1.19,1.84
July,,,,,,,,,1.21,2.45
August,,,,,,,,,0.64,4.51
September,,,,,,,,,0.17,4.96
October,,,,,,,,,1.95,5.59
November,,,,,,,,,3.22,3.36
December,,,,,,,,,4.42,2.97
Total,,,,,,,,,,35.5
,,,,,,,,,,
Elevation taken from OS NGR as not oted on record,,,,,,,,,,
10006,HARTLEBURY: MAINTENANCE UNIT ,01/01/1959,31/12/1977,,,,,,,
