SUNDERLAND  SOUTHWICK CEMETERY,,,,,,,,,,,,
Grid ref,NZ373592,Long,-1.419514,Lat,54.926101,,,,,,,
Station no,3551,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.31,0.64,,
February,,,,,,,,,1.12,1.35,,
March,,,,,,,,,2.62,5.18,,
April,,,,,,,,,3.05,2.70,,
May,,,,,,,,,1.52,1.74,,
June,,,,,,,,,0.67,2.52,,
July,,,,,,,,,2.65,3.17,,
August,,,,,,,,,1.15,2.99,,
September,,,,,,,,,1.66,1.88,,
October,,,,,,,,,1.25,2.81,,
November,,,,,,,,,1.32,1.24,,
December,,,,,,,,,1.63,4.18,,
Total,,,,,,,,,19.95,30.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.95,30.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
