SUNDERLAND SOUTHWICK CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ373592,Long,-1.419514,Lat,54.926101,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.31,0.64,2.5,1.4,2.83,4.14,1.99,2.67,0.9,3.25,2.54,3.36,3.1,4.05,3.2,1.38,2.25,2.01,2.41,1.29,2.65,2.84,3.7
February,,,,,,,,,1.12,1.35,2.71,0.98,2.49,0.77,0.94,3.02,2.38,0.86,1.19,2.13,1.12,0.29,2.2,4.15,1.7,3.24,2.36,0.79,1.42,0.65,1.45
March,,,,,,,,,2.62,5.18,0.69,2.11,1.99,2.43,2.01,2.16,3.18,2.7,1.3,2.57,3.51,0.79,1.51,1.83,1.22,2.05,1.23,1.89,2.09,0.23,2.05
April,,,,,,,,,3.05,2.7,2.16,1.34,0.14,3.46,0.65,0.66,1.2,2.59,1.61,1.8,3.27,1.25,2.17,2.04,1.93,3.25,1.42,1.44,1.27,1.56,1.85
May,,,,,,,,,1.52,1.74,2.8,0.99,2.38,2.79,1.32,1.75,2.2,3.17,1.78,0.98,3.84,2.42,1.44,3.02,6.99,3.21,2.09,1.91,1.31,1.04,1.34
June,,,,,,,,,0.67,2.52,1.61,4.62,4.47,1.19,3.34,0.56,1.73,0.97,0.58,1.25,0.73,1.39,1.83,1.2,2.95,0.06,2.98,3.68,3.92,1.98,1.46
July,,,,,,,,,2.65,3.17,2.12,0.67,3.44,0.68,3.31,2.61,3.41,0.93,3.58,1.65,4.86,2.15,5.16,2.1,6.51,2.25,3.35,5.5,1.88,2.66,5.81
August,,,,,,,,,1.15,2.99,2.43,2.36,4.08,0.69,1.6,2.48,3.36,5.96,1.03,2.38,1.97,6.63,3.05,4.4,3.29,3.95,2.59,6.19,2.86,3.88,5.3
September,,,,,,,,,1.66,1.88,0.74,2.09,1.72,2.45,1.74,1.87,1.66,1.23,3.91,0.92,1.54,0.99,4.63,1.62,2.71,3.65,2.85,3.67,0.99,1.12,3.9
October,,,,,,,,,1.25,2.81,2.84,2.56,3.48,1.59,1.68,1.75,3.06,2.44,1.26,6.31,1.43,2.36,2.17,2.04,4.69,2.05,3.22,1.88,2.73,2.97,1.98
November,,,,,,,,,1.32,1.24,3.39,3.63,1.71,1.3,3.04,2.04,3.17,1.64,1.18,4.58,0.95,3.32,0.97,4.96,1.71,2.86,3.92,3.52,2.24,2.58,4.18
December,,,,,,,,,1.63,4.18,2.07,3.41,1.49,1.13,3,6.83,3.75,2.62,3.63,3.2,4.05,1.14,5.09,2.95,2.13,3.99,0.82,4.24,1.17,3.03,2.83
Total,,,,,,,,,19.95,30.4,26.06,26.16,30.22,22.62,24.62,28.4,30,28.36,23.59,31.13,30.37,26.78,33.42,31.69,38.08,32.57,29.24,36,24.53,24.54,35.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1-page-152.csv - NO DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
