Rainfall at,GORDON CASTLE
,
Station no,5673,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.55,2.73,2.78,2.85,1.25,1.32,1.76,2.15,2.96,1.19,1.66,
February,1.74,0.45,2.32,4.07,1.37,3.40,1.42,1.20,0.91,0.72,0.78,
March,2.86,2.04,2.00,0.59,1.31,2.35,1.37,2.13,1.66,0.25,1.26,
April,1.80,0.68,4.07,1.73,0.88,1.92,2.12,2.80,0.81,1.82,1.66,
May,2.14,2.18,1.96,4.69,3.51,2.70,2.54,2.44,1.38,1.34,1.17,
June,1.33,1.79,1.60,1.53,2.65,1.02,2.78,4.16,3.57,2.41,1.13,
July,2.70,2.27,3.77,1.49,3.20,4.00,1.74,1.16,2.71,1.96,4.13,
August,2.30,3.05,2.78,5.14,5.05,1.60,1.63,2.06,3.20,2.74,5.11,
September,3.10,1.18,2.60,3.13,4.58,4.15,2.59,6.98,3.55,1.50,4.62,
October,1.42,2.44,1.34,3.38,3.43,2.67,4.13,4.32,1.89,3.49,4.39,
November,1.80,1.65,2.48,5.23,1.31,1.82,2.78,2.83,3.87,1.88,4.42,
December,1.32,2.90,1.44,3.25,0.94,2.39,1.82,2.24,2.12,3.91,1.63,
Total,24.06,23.36,29.14,37.08,29.48,29.34,26.68,34.47,28.63,23.21,31.96,
Calc annual,24.06,23.36,29.14,37.08,29.48,29.34,26.68,34.47,28.63,23.21,31.96,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
