Rainfall at,GORDON CASTLE
,
Station no,,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.63,1.63,2.18,2.04,3.33,1.58,2.36,1.32,1.88,0.85,
February,1.78,2.67,1.08,1.49,0.77,1.79,0.89,0.63,2.73,3.25,
March,1.00,1.91,3.20,3.74,2.62,1.54,0.85,1.34,3.43,1.66,
April,2.47,0.64,3.08,1.21,0.61,1.25,1.56,2.21,1.66,2.99,
May,0.86,2.21,1.42,2.05,1.26,2.22,3.72,1.94,1.11,0.81,
June,1.52,1.66,3.11,1.06,1.85,1.42,1.23,0.59,2.47,0.64,
July,3.84,3.98,2.58,4.46,1.62,1.82,2.44,1.60,2.84,3.37,
August,0.34,2.60,2.50,3.67,2.45,4.01,2.37,1.79,1.71,4.49,
September,1.28,2.92,4.69,3.93,0.37,2.83,1.68,3.72,1.30,1.47,
October,6.20,4.37,1.40,1.59,3.05,2.64,2.18,3.84,3.53,3.17,
November,4.06,1.60,3.75,1.20,3.36,2.06,3.48,2.95,2.67,2.34,
December,4.01,1.00,4.92,2.65,1.34,2.33,4.10,2.91,0.86,1.58,
Total,28.99,27.19,33.91,29.09,22.63,25.49,26.86,24.84,26.19,26.62,
Calc annual,28.99,27.19,33.91,29.09,22.63,25.49,26.86,24.84,26.19,26.62,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,
