FOCHABERS (GORDON CASTLE),,,,,,,,,,,,
Grid ref,NJ350595,Long,-3.089835,Lat,57.620766,,,,,,,
Station no,5673,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,2.93,1.74,1.14,1.25,3.27,2.17,3.19,3.55,3.27,,
February,3.49,1.50,1.80,1.47,2.00,2.28,1.46,3.23,0.37,3.37,,
March,3.02,1.84,0.50,1.61,1.44,0.67,2.74,1.66,0.92,1.14,,
April,2.87,1.36,2.28,0.81,1.34,1.72,0.61,1.42,1.75,1.67,,
May,0.98,1.63,1.52,5.08,3.36,0.42,1.35,2.73,0.58,0.40,,
June,2.85,2.31,3.05,2.86,1.53,2.47,3.04,2.07,1.53,2.66,,
July,3.45,2.37,3.97,3.07,0.95,5.30,4.09,6.63,2.79,3.68,,
August,3.50,4.15,2.12,3.01,2.28,3.63,4.99,4.26,1.17,7.39,,
September,0.66,3.93,2.92,2.08,1.57,2.26,1.97,2.70,0.96,2.15,,
October,1.34,2.28,0.75,5.02,5.07,2.42,1.48,1.51,3.96,3.95,,
November,5.67,4.09,1.82,3.35,0.85,1.82,3.27,1.07,3.77,1.76,,
December,2.31,2.30,2.96,4.07,5.35,2.98,4.34,2.41,2.06,0.87,,
Total,32.91,30.69,25.43,33.57,26.99,29.24,31.51,32.88,23.41,32.31,,
Calc annual,32.91,30.69,25.43,33.57,26.99,29.24,31.51,32.88,23.41,32.31,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
