"OTTERY ST MARY  WEST HILL",,,,,,,,,,,,
Grid ref,SY070939,Long,-3.319280,Lat,50.737240,,,,,,,
Station no,1817,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.69,1.58,,
February,,,,,,,,,1.50,0.43,,
March,,,,,,,,,3.29,6.28,,
April,,,,,,,,,2.93,2.65,,
May,,,,,,,,,2.66,1.27,,
June,,,,,,,,,0.65,2.72,,
July,,,,,,,,,1.57,3.04,,
August,,,,,,,,,4.17,2.59,,
September,,,,,,,,,2.88,2.28,,
October,,,,,,,,,3.36,6.36,,
November,,,,,,,,,1.15,0.90,,
December,,,,,,,,,3.72,5.68,,
Total,,,,,,,,,28.57,35.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,35.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
