CHESTERFIELD-WALTON-SANATORIUM,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK373696,Long,-1.4427992,Lat,53.222147,Elevation,450,ft.,,,,,,,,,,,,,
Station no,2715,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.09,3.15,3.2,1.65,6.51,1.6,5.07,2.24,2.36,2.2,2.65,1.66,4.09,5.1,3.45,5.92,3.06
February,,,,,0.75,3.97,1.8,1.61,3.32,0.61,0.58,2.82,0.23,2.85,0.55,3.03,2.66,4.18,0.74,1.83,2.5
March,,,,,0.93,0.97,1,3.42,2.76,0.05,2.66,0.08,1.53,2.51,2.82,0.8,1.91,3.06,0.15,2.16,1.94
April,,,,,2.26,2.68,2.38,2.23,0.83,1.06,2.49,3.93,3.21,1.01,2.26,2.92,1.51,1.92,0.11,1.89,1.88
May,,,,,3.71,3.72,2.88,1.09,0.93,2.24,1.35,3.24,6.37,2.06,1.11,0.23,0.67,3.35,2.85,1.43,1.87
June,,,,,2.32,0.18,2.12,3.64,2.96,1.13,0.94,3.88,1.01,1.69,0.66,3.96,3.39,1.45,1.67,2.33,0.76
July,,,,,4.28,1.15,2.54,2.46,0.86,1.69,5.68,3.18,4.13,1.81,1.21,0.57,4.29,2.64,3.35,4.29,3.98
August,,,,,2.73,2.36,2.8,3.38,3.16,2,2.57,5.67,2.21,0.45,1.33,1.89,1.24,0.64,1.9,2.15,0.35
September,,,,,2.21,3.07,1.26,4.44,0.25,1.29,4.42,3.62,1.96,1.08,2.99,3.8,2.55,1.52,2.18,0.55,1.43
October,,,,,4.71,3.43,2.82,2.37,5.05,3.71,3.08,0.64,3.32,4.46,1.9,5.04,3.06,3.06,3.62,3.64,4.78
November,,,,,1.8,1.97,4.31,2.27,5.14,6.39,3.51,4.32,2.35,1.51,1.79,6.15,3.65,1.74,3.68,4.63,7.08
December,,,,,3.18,2.56,1.51,2.64,2.02,6.53,2.93,1.24,1.28,0.33,5.54,4.08,2.65,4.01,4.33,2,3.42
Total,,,,,30.97,29.21,28.62,31.2,33.79,28.3,35.28,34.86,29.96,21.96,24.81,34.13,31.67,32.67,28.03,32.82,33.05
,,,,,,,,,,,,,,,,,,,,,
NGR is the sanatorium. Altitudes match,,,,,,,,,,,,,,,,,,,,,
