KILSYTH (CRAIGANNET),,,,,,,,,,,,,,,,,,,,
Grid ref,NS717839,Long,-4.060472,Lat,56.030759,Elevation,740,ft,,,,,,,,,,,,
Station no,5350/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.09,7.44,5.76,7.94,6.79,5.21,9.05,4.7,2.79,7.37,4.38,4.65,9.07,6.05,2.43,5.8
February,,,,,9.22,4.21,2.63,5.89,5.75,6.69,3.88,0.97,2.54,6.07,4.1,1.95,4.89,3.6,2.82,4.77
March,,,,,5.46,5.06,5.41,6.15,2.11,4.28,3.94,5.64,1.76,4.9,3.51,3.34,7.51,2.66,4.36,2.85
April,,,,,2.65,1.93,8.17,4.48,6.38,4.34,4.68,2.54,2.66,2.66,3.06,1.85,4.17,1.96,4.46,4.97
May,,,,,6.15,2.5,4.13,2.68,3.15,2.13,2.16,2.57,3.65,5.69,5.56,3.63,3.69,4.6,1.53,3.61
June,,,,,5.53,5.13,5.53,6.55,1.69,2.74,3.74,4.71,2.6,4.6,2.99,4.02,2.28,4.24,3.28,3.65
July,,,,,3.68,5.28,3.96,5.48,2.62,7.67,4.85,3.33,8.74,3.08,1.73,7.11,5.68,6.25,7.19,5.33
August,,,,,2.62,5.06,0.04,10.24,6.08,7.02,7.86,4.8,3.57,6.53,1.57,6.84,5.71,7.25,1.58,4.73
September,,,,,6.84,7.94,6.23,7.7,2.79,11.13,5.2,3.48,6.01,8.92,5.06,7.26,3.92,5.21,1.39,3.94
October,,,,,8.79,0.8,3.2,8.19,7.77,5.16,1.51,4.55,3.32,12,4.39,5.36,6.11,5.39,5.56,5.31
November,,,,,0.84,8.9,8.42,5.45,5.03,4.74,8.28,2.7,9.24,10.06,2.72,1.44,2.54,2.42,8.14,7.86
December,,,,,5.43,6.64,2.76,7.32,10.86,2.57,9.77,5.74,6.82,9.39,9.93,6.79,8.95,7.35,10.77,7.37
Total,,,,,62.3,60.89,56.24,78.07,61.02,63.68,64.92,45.73,53.7,81.27,49,54.24,64.52,56.98,53.51,60.19
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comments that site was unorthodox,,,,,,,,,,,,,,,,,,,,
seem to be resolved as clerical error,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5350/1,,,,,,,,,,,,,,,,,,,
Midas,15616,,,,,,,,,,,,,,,,,,,
Hyd stn,896058,,,,,,,,,,,,,,,,,,,
