KIRKBY MALZEARD STONE & EARS WHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE1695374789,Long,-1.741825,Lat,54.168622,Elevation,1118,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,6.64,2.42,2.71,2.19,6.29,10.55,1.77,3.09,2.14,8.51,6.78,2.46,1.72,4.92,2.76,1.67,5.55,2.13,3,2.43,6.34,2.33,5.25,4.29,1.73,7.35,6.24,1.97,3.62,5.97,7.21,8.65,-999,2.21,2.8,5.78,6.24,2.5,9.05,1.45,4.59,1.92,3.27,2.19,2.59,1.91,3.26,3.74,5.67,7.93,1.48,4.28,3.19,4.84,3.45,4.57,3.24,2.95,8.69,1.49,1.97,2.67,2.66,1.1,4.61,3.03,4.6,3.58,4.37,4.34,4.83
February,,,,,,,,,,,1.48,0.37,5.23,6.82,9.48,2.97,0.51,3.44,2.59,2.91,7.7,1.15,1.44,4.23,6.27,2.12,2.87,3.34,2.65,1.09,4.83,4.12,2.86,3.97,5.65,5.8,4.23,2.55,5.13,0.71,3.53,0.57,-999,3.98,0.57,4.93,3.45,1.11,3.97,1.97,2.59,2.82,0.72,3.77,0.24,4.82,5.86,7.12,1.91,2.87,3.97,7.83,4.29,2.72,1.49,4.21,2.35,6.5,2.04,2.23,5.98,3.16,0.71,2.71,2.88,2.23,2.6,3.21,5.92,0.28,4.45
March,,,,,,,,,,,3.62,2.44,1.83,2.15,3.97,2.9,5.26,8,1.6,1.24,1.3,3.32,2.34,8.04,2.92,2.95,2.69,3.31,6,6.24,0.87,2.48,4.04,5.7,3.33,1.75,5.76,2.15,2.01,6.85,3.6,2.16,3.93,2.84,1.95,1.17,1.69,2.52,3.65,0.26,3.43,0.84,1.22,4.34,3.6,3.4,2.83,5.01,0.93,3.44,2.23,5.54,3.02,1.39,0.6,1.08,1.91,8.4,2.61,1.26,1.74,3.67,2.28,0.61,2.66,2.14,1.72,2.42,2.76,2.6,3.27
April,,,,,,,,,,,1.66,3.51,1.1,0.63,3.39,4.33,1.26,2.36,2.45,3.67,2.5,3.76,2.07,1.35,3,2.77,0.83,1.93,2.01,3.45,3.45,1.38,1.42,5.5,1,1.52,2.68,3.29,1.49,1.94,7.1,2.06,4.04,2.66,1.21,2.04,1.69,2.72,1.14,1.19,4.32,4.06,4.08,1.08,4.09,3.93,2.53,4.8,0.25,2.22,2.77,3.13,1.75,1.91,2.71,2.01,1.91,5.27,3.13,3.58,3.02,2.44,2.11,3.3,0.69,1.38,2.36,0.32,1.61,4.37,2.03
May,,,,,,,,,,1.14,2.93,3.32,4.73,2.64,2.35,0.42,1.04,1.39,4.47,5.09,2.19,1.03,1.84,6.47,3.73,2.07,4.04,3.23,3.55,2.76,3.3,2.28,3.16,2.98,1.86,2.37,3.12,2.35,3.62,2.41,4.06,1.43,0.84,2.7,5.51,3.68,2.26,1.53,2.4,2.39,1.33,3.37,5.18,3.13,2.23,1.18,2.47,4.03,2.53,1.59,1.42,2.23,2.69,2.89,0.76,4.01,3.74,3.46,1.47,1.45,1.99,7.19,2.2,2.54,5.4,2.89,1.11,1.6,6.02,1.32,1.96
June,,,,,,,,,,0.6,4.12,1.58,3.65,2.43,4.54,1.53,3.85,2.32,2.94,0.9,2.77,2.35,2.7,2.75,2.33,1.74,1.55,6.5,4.32,2.85,1.96,3.45,7.18,2.49,3.28,0.32,2.17,2.92,1.02,1.06,1.26,0.89,1.76,1.12,3.94,0.65,3.45,2.71,4.5,1.11,1.8,5.85,1.7,1.28,1.96,3.49,5.2,2.5,3.98,3.17,0.43,0.35,1.33,3.51,3.11,3.58,2.55,4.57,4.17,0.91,1.14,1.84,1.82,4.67,2.24,2.64,3.56,1.28,4.99,1.44,1.24
July,,,,,,,,,,3.56,1.99,2.65,3.94,2.91,3.49,6.72,1.69,1.58,0.81,3.74,2.94,2.87,2.09,3.55,1.67,0.99,1.17,2.44,3.38,2.84,2.78,0.62,4.91,1.28,2.31,5.89,2.81,1.2,6.45,2.55,7.92,2.93,7.27,1.83,3.34,0.37,2.68,6.46,0.82,2.05,6.1,5.08,5.12,2.2,0.63,0.86,5.33,2.53,5.74,4.18,5.32,2.19,4.03,1.41,2.79,2.82,3.27,3.01,1.45,2.07,3.08,1.92,1.22,3.79,2.53,1.22,5.86,3.53,3.38,1.9,4.95
August,,,,,,,,,,5.03,5.56,7.82,4.59,3.07,2.7,2.41,2.78,4.15,4.25,1.02,7.3,1.72,2.65,4.22,4.07,4.6,3.63,2.44,2.82,4.75,5.75,3.41,5.86,1.26,2.43,3.07,2.44,7.03,3.33,3.4,1.94,3.44,4.18,2.88,4.19,3.88,2.57,8,4.41,3.91,4.08,4.6,1.55,0.84,2.43,2,3.51,1.91,4.41,3.24,0.72,3.42,3.43,4.76,1.91,3.95,7.18,1.47,4.85,3.88,4.95,5.3,4.54,3.3,6.79,1.13,7.84,8.32,4.38,0.95,3.8
September,,,,,,,,,,1.16,2.66,3.5,2.31,1.28,0.81,1.62,7.03,2.19,0.25,3.92,0.86,2.1,2.61,4.75,1.27,2.02,0.78,0.97,4.3,2.55,0.54,2.03,2.24,2.23,1.87,1.5,2.97,3.86,8.81,1.8,0.99,3.36,4,3.79,3.82,2.5,2.71,5.07,0.56,0.57,6.79,4.89,2.37,2.07,1.89,6.4,3.19,1.5,2.01,1.66,1.84,0.36,3.19,5.55,6.11,2.71,7.54,2.14,2.16,2.03,3.78,2.01,3.19,2.32,3.3,1.83,5.13,5.5,3.95,0.29,4.05
October,,,,,,,,,,5.88,1.54,5.41,9.46,3.88,6.44,4.58,5,2.36,7.78,5.84,6.47,1.81,4.45,9.54,1.73,3.28,7.38,5.86,2.33,4.48,4.61,5.44,4.9,3.43,2.27,1.49,6.27,4.71,4.19,2.53,3.88,2.03,-999,3.15,3.37,3.74,2.96,4.76,5.1,3.91,2.9,1.23,4.67,3.06,3.43,5.52,2.93,3.07,9.35,3.99,4.14,5.69,3.58,2.46,4.29,4.7,3.12,1.38,0.9,4.69,1.88,1.77,4.54,2.89,6.56,2.64,1.66,3.64,4.21,3.31,8.1
