OXSHOTT-OAKLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ147602,Long,-0.35509174,Lat,51.32934,Elevation,247,ft.,,,,,,,,,,,,
Station no,RR8456,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.01,,1.24,3.16,2.15,0.45,,0.86,1.34,4.38,
February,,,,,,,,,,0.51,,1.23,1.54,1.22,3.74,,4.07,0.94,1.03,
March,,,,,,,,,,3.63,,1.71,3.55,2.49,4.74,,5.26,1.87,1,
April,,,,,,,,,,1.9,,2.09,0.13,2.58,0.92,,1.05,2.28,3.74,
May,,,,,,,,,,1.69,,1.43,1.66,2.28,0.94,,2,1.62,1.75,
June,,,,,,,,,,4.14,,3.23,3.32,0.36,1.37,,1.7,1.73,0.97,
July,,,,,,,,,,3.03,,1.09,1.79,2.7,2.35,,1.72,5.15,7.24,
August,,,,,,,,,,2.33,,0.97,5.9,1.88,1.4,,3.2,4.52,0.95,
September,,,,,,,,,,3.55,,1.12,2.72,2.39,1,,1.7,1.18,4.82,
October,,,,,,,,,,4.56,,3.31,2.83,4.37,1.55,,3.91,3.83,1.16,
November,,,,,,,,,,1.11,,4.05,2.1,2.33,3.11,,5.08,1.11,2.48,
December,,,,,,,,,,3.36,,6.5,3,1.12,7.3,,2.78,1.59,2.22,
Total,,,,,,,,,25.75,30.82,,27.97,31.7,25.87,28.87,,33.33,27.16,31.74,
,,,,,,,,,,,,,,,,,,,,
NGR is Oaklands in Oxshott. Altitudes match,,,,,,,,,,,,,,,,,,,,
