GODSHILL-DAFFODIL-VALLEY-FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ541814,Long,-1.236,Lat,50.63048,Elevation,195,ft,,,,,,,,,,,,,
Station no,594,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.53,1.67,3.38,7.46,4.3,2.82,6.97,1.64,5.6,3.34,3.68,3.02,,,,,,,
February,,,3.45,6.52,0.46,5.87,2.44,4.76,2.02,1.4,1.36,2.55,0.08,3.77,,,,,,,
March,,,3.05,1.7,2.29,0.4,0.41,3.93,3.57,0.22,1.36,1.18,1.48,3.01,,,,,,,
April,,,4.35,4.34,2.94,2.99,3.48,2,2.12,0.92,2.61,3.33,3.16,1.38,,,,,,,
May,,,0.91,3,3.4,4.69,2.22,0.64,1.68,2.78,2.06,3.86,4.82,2.2,,,,,,,
June,,,1.84,0.42,1.82,0,3.83,3.15,2.81,1.93,0.63,1.85,2.24,1.33,,,,,,,
July,,,3.75,0.97,3.37,3.01,1.51,3.76,3.01,1.86,2.24,3.57,3.43,,,,,,,,
August,,,3.15,2.03,3.47,5.47,1.12,3.45,3.26,2.33,4.6,3.52,1.34,,,,,,,,
September,,,2.05,3.04,5.26,3.1,0.65,8.75,1.22,0.57,4.03,2.29,3.81,,,,,,,,
October,,,1.31,7.53,7.18,4.01,4.41,2.82,10.21,5.62,3.52,0.97,7.49,,,,,,,,
November,,,2.28,2.22,2.61,3.74,8.22,4.49,4.87,9.21,6.11,4.9,3.04,,,,,,,,
December,,,5.05,4.7,5.7,4.57,0.4,4.65,3.7,6.53,4.79,0.9,1.7,,,,,,,,
Total,,,36.72,38.14,41.88,45.31,32.99,45.22,45.44,35.01,38.91,32.26,36.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Observer lived in Redhill Lane so NGR at Daffodil Valley House which matches elevation,,,,,,,,,,,,,,,,,,,,,
1933 June Observer left at end of month House untenanted,,,,,,,,,,,,,,,,,,,,,
1935 Recommenced at Oxted,,,,,,,,,,,,,,,,,,,,,
