EAST-MEON-BURNSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU670233,Long,-1.04636,Lat,51.00571,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.96,3.6,4.49,6.33,2.78,6.44,0.83,6.3,2.41,3.43,2.72,2.88,1.21,6.19,8.8,4.55,6.26,2.89,3.18,3.39,,,,,,,,
February,,,,7.15,0.58,5.65,2.38,5.32,2.68,2.01,1,2.85,0.23,5.48,0.1,4.77,3.14,6.88,0.98,1.91,3.78,4.21,1.37,,,,,,,,
March,,,,2.66,1.78,0.56,0.58,4.44,3.26,0.21,1.5,0.93,2.07,4.57,3.81,0.74,2.54,4.76,0.47,1.67,3.44,3.37,2.77,,,,,,,,
April,,,,4.25,4.1,3.44,3.48,2.54,2,0.72,2.91,3.48,3.67,1.23,3.44,4.06,3.54,3.63,0,2.22,1.45,3.11,2.43,,,,,,,,
May,,,,2.28,4.09,4.46,2.22,1.08,1.64,2.54,2.98,3.01,4.05,2.93,1.27,1.21,0.29,3.02,1.95,1.35,0.51,2.56,3.29,,,,,,,,
June,,,,0.43,3.69,0.02,2.91,3.45,3.24,1.94,0.53,2.2,2.17,2.16,1.79,3.85,3.02,1.28,1.34,1.94,0.24,2.15,0.29,,,,,,,,
July,,,,1.08,4.43,3.92,2.31,3.33,1.7,1.51,2.47,3.93,5.54,2.37,2.38,1.19,4.57,1.59,3.52,3.91,2.91,4.03,1.67,,,,,,,,
August,,,3.53,3.42,4.57,4.19,1.39,4.77,3.22,2.28,4.83,4.85,1.02,1.33,3.54,2.76,1.95,1.32,2.11,2.71,0,5.68,3.7,,,,,,,,
September,,,2.41,1.77,6.99,3.53,0.8,6.61,0.96,0.4,3.73,2.41,3.94,2.94,3.16,5.69,3.13,2.34,1.9,1.31,1.79,0.18,2.36,,,,,,,,
October,,,-999,-999,4.91,5.34,2.77,2.87,7.99,5.56,2.17,0.7,6.39,2.51,2.38,5.23,1.58,3.82,3.93,5.15,4.39,1.38,2.78,,,,,,,,
November,,,-999,-999,3.3,3.48,7.49,,3.81,9.15,6.48,4.98,1.28,0.85,4.32,9.01,4.65,3.71,6.3,7.15,9.17,3.61,2.66,,,,,,,,
December,,,5.05,3.76,6.39,4.03,0.41,,3.9,8.28,3.92,0.64,2.31,0.77,11.63,5.85,3.55,4.39,4.25,2.51,2.64,2.63,4.67,,,,,,,,
Total,,,,37.27,48.43,43.11,33.07,,40.84,35.43,38.82,32.39,36.1,29.86,40.7,45.57,38.15,45.54,31.3,38.09,33.21,36.09,31.38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Near Drayton Farm NW of East Meon Other houses named so elimination leaves this NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Oct Nov Bracketed Combined value 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Oct Nov Bracketed Combined value 8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Nov Dec Estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Form returned saying Gone Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
