HENLEY-ON-THAMES,,,,,,,,,,,,,,,,,,,,
Grid ref,SU765824,Long,-0.89845428,Lat,51.535331,Elevation,91,ft,,,,,,,,,,,,
Station no,RR8126,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.02,3.26,4.37,3.14,3.75,3.96,1.29,1.97,4.95,,,,,,,
February,,,,,1.27,1.96,3.93,1.55,1.44,2.44,2.61,1.22,1.74,,,,,,,
March,,,,,2.83,1.16,1.54,2.76,1.95,1.64,1.28,1.68,2.39,,,,,,,
April,,,,,1.98,0.85,1.61,2.15,2.11,1.73,0.49,3,1.89,,,,,,,
May,,,,,2.76,1.92,1.88,2.06,0.59,3.39,0.93,0.22,2.68,,,,,,,
June,,,,,0.8,2.77,3.44,1.73,0.43,1.47,0.43,2.28,2.86,,,,,,,
July,,,,,0.54,2.02,1.28,3.43,1.9,0.48,0.75,2.64,2.26,,,,,,,
August,,,,,0.55,2.77,2.04,1.68,3.71,1.58,2.37,1.34,2.52,,,,,,,
September,,,,,1.83,0.25,4.22,2.52,4.11,3.63,2.21,5.23,1.31,,,,,,,
October,,,,,1.19,6.02,1.31,2.57,2.96,1.07,2.91,1.9,4.37,,,,,,,
November,,,,,2.42,2.38,1.53,0.95,1.52,3.02,1.75,0.65,4,,,,,,,
December,,,,,0.56,1.86,2.18,1.82,5.61,3.64,2.24,1.25,4.36,,,,,,,
Total,,,,,17.75,27.22,29.33,26.36,30.08,28.05,19.26,23.38,35.33,,,,,,,
