BILSDALE PRIORY,,,,,,,,,,
Grid ref,NZ565005,Long,-1.131,Lat,54.397,Elevation,638,ft,,
Station no,RR6013,,,,,,,,,
,,,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923
January,,4.92,1.23,5.43,2.38,4.10,3.51,3.51,3.69,2.19
February,,4.83,4.17,0.65,1.98,1.58,1.31,0.33,2.31,4.79
March,,1.77,5.84,3.67,1.64,4.29,3.19,1.97,2.77,1.93
April,,1.38,2.33,3.06,1.76,2.44,4.56,1.61,2.53,1.98
May,,1.84,2.96,1.07,2.79,0.82,2.31,1.87,0.97,3.38
June,,0.60,3.04,2.02,0.77,1.65,0.72,0.64,2.42,1.06
July,,5.84,2.11,1.85,4.50,3.83,6.33,1.34,5.30,3.07
August,,2.86,2.46,9.08,2.75,3.82,2.92,5.13,3.20,3.68
September,,1.71,1.79,0.98,6.01,1.37,1.27,0.85,3.64,2.92
October,,1.93,4.64,3.68,2.75,8.00,2.16,1.80,2.34,3.22
November,4.25,3.82,4.36,2.55,1.81,4.66,1.17,2.47,2.36,5.22
December,7.56,6.45,3.17,2.37,3.47,4.37,3.83,2.36,4.89,3.44
Total,,37.95,38.10,36.41,32.61,40.93,33.28,23.88,36.42,36.88
,,,,,,,,,,
TYRain_1910-1919_21_pt1/034,,,,,,,,,,
TYRain_1920-1930_24_pt1/015,,,,,,,,,,
