"KINGSTON HALL (LOUGHBOROUGH)",,,,,,,,,,,,
Grid ref,SK508278,Long,-1.247190,Lat,52.845318,,,,,,,
Station no,RR1872,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.29,1.43,1.01,2.01,2.84,0.97,3.09,1.15,0.98,1.02,,
February,4.64,1.27,1.73,0.99,3.25,0.87,2.40,1.30,1.43,0.66,,
March,1.02,2.38,1.41,3.74,1.96,2.90,1.45,1.12,3.00,3.07,,
April,0.88,1.52,2.33,2.09,1.15,1.65,0.65,1.96,2.60,1.17,,
May,1.86,0.74,2.63,2.55,1.76,0.44,2.17,3.48,2.18,1.16,,
June,2.68,1.68,2.53,1.85,0.42,2.83,2.64,3.12,2.13,2.48,,
July,2.14,3.00,1.41,1.60,2.05,1.16,0.79,2.49,2.86,3.93,,
August,4.48,1.27,4.81,5.91,3.24,3.44,1.06,2.56,3.30,2.59,,
September,0.69,0.97,1.36,2.67,1.73,1.68,1.05,0.78,2.07,2.77,,
October,2.57,1.35,2.41,6.89,0.43,1.01,5.11,4.33,1.18,3.16,,
November,2.51,1.62,1.58,2.05,1.03,2.88,3.22,1.86,1.47,0.60,,
December,4.17,5.28,1.74,1.50,1.60,0.78,2.29,2.82,1.61,4.34,,
Total,31.93,22.51,24.95,33.85,21.46,20.61,25.92,26.97,24.81,26.95,,
Calc annual,31.93,22.51,24.95,33.85,21.46,20.61,25.92,26.97,24.81,26.95,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
