KINGSTON-HALL-LOUGHBOROUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK508278,Long,-1.24719,Lat,52.845318,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.89,1.81,1.7,3.07,1.35,4.19,1.7,1.41,0.49,0.43,1.93,2.69,2.15,1.21,2.4,1.93,0.71,1.82,2.64,1.76,0.88,1.55,1.1,4.14,0.96,1.84,0.86,2.76,4.29,1.43,1.01,2.01,2.84,0.97,3.09,1.15,0.98,1.02,1.98,0.93,3.62,3.45,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.92,0.78,1.48,0.93,2.64,1.55,0.91,1.69,2.12,3.67,1.57,2.49,1.21,2.37,0.33,0.55,1.77,2.05,0.7,0.09,1.13,2.42,2.26,0.15,0.76,3.29,1.1,1.43,4.64,1.27,1.73,0.99,3.25,0.87,2.4,1.3,1.43,0.66,2.06,1.52,1.43,0.91,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.34,1.58,0.81,0.53,3.27,1.88,0.59,0.72,1.07,1.37,1.9,0.96,1.15,0.86,2.04,1.13,2.32,4.25,1.33,1.45,0.45,0.27,0.53,1.31,2.03,2.12,1.13,1.12,1.02,2.38,1.41,3.74,1.96,2.9,1.45,1.12,3,3.07,0.65,1.56,2.84,3.41,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.34,0.52,1.37,0.88,3.15,2.3,1.27,2.06,1.77,1,2.77,2.07,1.73,1.81,1.48,1.26,2.59,3.4,0.66,2.07,0.63,0.4,1.14,2.23,0.94,1.9,1.77,2.64,0.88,1.52,2.33,2.09,1.15,1.65,0.65,1.96,2.6,1.17,2.17,1.02,0.23,2.31,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.86,2.23,0.66,2.2,0.47,1.95,4.32,2.91,1.29,0.94,2.44,1.98,1.04,1.79,4.48,1.65,0.66,3.62,1.82,2.53,2.81,2.21,1.38,0.42,0.51,1.36,2.39,3.09,1.86,0.74,2.63,2.55,1.76,0.44,2.17,3.48,2.18,1.16,2.68,1.41,2.05,2.28,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.89,1.77,0.39,3.91,2.04,1.56,2.32,3.86,4.07,1.69,3.84,3.38,0.97,2.89,1.43,1.03,2.14,0.67,1.49,3.58,2.49,0.84,1.65,0.93,2.64,2.54,1.49,1.65,2.68,1.68,2.53,1.85,0.42,2.83,2.64,3.12,2.13,2.48,1.52,2.3,4.53,1.03,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.77,2.92,1.64,7.37,1.22,2.5,1.11,3.43,5.56,1.52,2.95,2.39,3.83,0.15,3.21,0.92,4.18,1.82,2.86,2.57,1.48,2.56,1.9,2.87,2.93,0.23,0.9,1.82,2.14,3,1.41,1.6,2.05,1.16,0.79,2.49,2.86,3.93,2.95,0.19,3.25,0.77,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.27,2.88,1.77,4.34,1.54,2.93,5.75,3.53,1.52,4.6,1.45,1.33,1,2.1,1.7,1.28,2.89,3.72,2.38,3.23,2.56,1.83,2.27,1.59,1.63,2.66,2.39,0.55,4.48,1.27,4.81,5.91,3.24,3.44,1.06,2.56,3.3,2.59,3.25,2.11,5.11,2.11,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.38,1.73,2.32,3.03,4.27,1.8,3.06,3.18,3.88,2.18,1.57,4.89,2.39,3.1,1.12,2.42,1.81,1.49,1.28,0.67,2.98,2.03,0.75,0.59,3.41,2.24,0.41,2.3,0.69,0.97,1.36,2.67,1.73,1.68,1.05,0.78,2.07,2.77,0.67,1.75,1.07,1.93,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.73,1.57,2.38,7.51,2.48,1.65,2.4,1.14,4.65,2.52,5.29,2.65,1.04,5.11,3.97,1.69,0.31,2.93,1.58,4.65,3.68,1.66,2.57,2.47,2.76,1.03,2.49,3.05,2.57,1.35,2.41,6.89,0.43,1.01,5.11,4.33,1.18,3.16,1.81,2.2,2.76,3.43,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.61,2.41,2.53,4.49,3.98,2.37,2.51,0.81,1.34,2.35,3.49,3.23,0.79,2.97,1.63,1.35,3.65,0.93,2.74,2.37,0.99,1.41,2.12,2.87,1.09,1.34,2.46,1.45,2.51,1.62,1.58,2.05,1.03,2.88,3.22,1.86,1.47,0.6,4.15,2.26,1.7,1.82,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,3.21,0.15,2.01,1.39,4.9,1.83,1.83,0.98,2.42,2.3,3.96,1.27,2.32,0.53,3.12,1.42,1.77,1.93,0.68,3.63,1,2.57,2.25,2.23,3.08,2.82,2.14,2.37,4.17,5.28,1.74,1.5,1.6,0.78,2.29,2.82,1.61,4.34,4.94,4.15,3.91,0.94,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,33.21,20.35,19.06,39.65,31.31,26.51,27.77,25.72,30.18,24.57,33.16,29.33,19.62,24.89,26.91,16.63,24.8,28.63,20.16,28.6,21.08,19.75,19.92,21.8,22.74,23.37,19.53,24.23,31.93,22.51,24.95,33.85,21.46,20.61,25.92,26.97,24.81,26.95,28.83,21.4,32.5,24.39,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1872 - Original total value restored to preserve addition , but note on TYR states that the Observer accepts obs of other rain gauge at this site's figures of 32.63 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
