"BATH (ISOLATION HOSPITAL)",,,,,,,,,,,,
Grid ref,ST778629,Long,-2.320261,Lat,51.364726,,,,,,,
Station no,1983,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,2.40,0.75,2.10,,3.81,2.22,2.20,3.26,,,
February,4.28,0.81,1.84,3.28,,0.15,2.60,3.05,0.08,,,
March,2.75,2.36,0.58,3.37,,0.89,2.23,1.20,2.71,,,
April,3.04,1.49,2.42,0.29,,1.33,0.10,0.91,2.11,,,
May,2.55,4.19,1.85,1.98,,0.42,2.18,2.13,1.41,,,
June,1.28,2.27,1.48,4.35,,2.06,0.98,3.57,1.56,,,
July,1.38,1.35,2.64,2.85,,2.63,3.02,2.85,2.34,,,
August,5.20,3.65,2.71,2.86,,4.54,4.80,2.69,1.61,,,
September,3.24,2.83,3.61,3.49,,2.77,3.04,3.48,0.10,,,
October,0.59,4.24,2.26,2.66,,1.99,2.38,1.48,2.00,,,
November,7.59,3.53,1.56,5.55,,0.47,2.48,1.91,3.24,,,
December,2.26,2.72,0.65,2.05,,3.31,1.99,2.50,5.35,,,
Total,36.85,31.84,22.35,34.83,,24.37,28.02,27.97,25.77,,,
Calc annual,36.85,31.84,22.35,34.83,0.00,24.37,28.02,27.97,25.77,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,0.00,0.00,-0.00,-0.00,NaN,,
