"TIVERTON BLUNDELL'S SCHOOL",,,,,,,,,,,,
Grid ref,SS971129,Long,-3.464864,Lat,50.906370,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.88,1.72,,
February,,,,,,,,,2.40,0.51,,
March,,,,,,,,,2.90,4.79,,
April,,,,,,,,,2.47,2.89,,
May,,,,,,,,,1.75,1.50,,
June,,,,,,,,,0.73,3.06,,
July,,,,,,,,,1.84,2.62,,
August,,,,,,,,,3.97,1.79,,
September,,,,,,,,,2.86,2.66,,
October,,,,,,,,,2.91,6.33,,
November,,,,,,,,,1.67,1.39,,
December,,,,,,,,,3.91,5.74,,
Total,,,,,,,,,28.29,35.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.29,35.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
