BALLYKELLY AIRFIELD,,,,,,,,,,,,
Grid ref,IC246423,Long,-7.614132,Lat,55.227336,,,,,,,
Station no,6246/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,,,3.45,3.71,3.36,4.57,3.78,2.28,3.14,,
February,2.43,,,3.08,2.08,1.69,2.05,3.46,0.55,2.83,,
March,2.53,,,2.73,0.89,1.17,2.51,1.27,2.24,1.12,,
April,1.44,,,0.79,1.60,1.29,0.81,1.96,2.71,1.95,,
May,0.78,,3.56,3.19,3.13,1.45,0.95,1.79,1.00,1.67,,
June,2.62,,1.89,2.52,2.06,2.46,1.05,3.72,2.34,1.85,,
July,,,4.25,2.86,0.89,3.75,4.53,4.42,3.01,4.57,,
August,,,2.99,2.46,1.07,5.71,3.20,3.56,0.89,4.62,,
September,,,2.96,4.20,3.35,3.53,4.57,2.22,0.99,2.31,,
October,,,1.86,4.52,3.02,3.40,3.22,3.22,4.26,2.72,,
November,,,3.58,4.22,1.05,2.40,1.08,1.55,4.15,2.56,,
December,,,2.96,4.72,3.57,4.05,4.94,4.03,3.59,3.87,,
Total,,,,38.74,26.42,34.26,33.48,34.98,28.01,33.21,,
Calc annual,12.68,0.00,24.05,38.74,26.42,34.26,33.48,34.98,28.01,33.21,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
