BROUGHTON-PUMPING-STATION,,,,,,,,,,
Grid ref,SU307338,Long,-1.56291,Lat,51.102685,Elevation,141,ft,,
Station no,658/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.44,4.14
February,,,,,,,,,0.2,2.6
March,,,,,,,,,3.7,1.76
April,,,,,,,,,3.91,1.39
May,,,,,,,,,0.92,1.11
June,,,,,,,,,0.89,3.57
July,,,,,,,,,2.41,3.34
August,,,,,,,,,2.21,3.7
September,,,,,,,,,0.05,4.76
October,,,,,,,,,3.03,10.63
November,,,,,,,,,4.28,4.31
December,,,,,,,,,7.82,4.53
Total,,,,,,,,,33.86,45.84
,,,,,,,,,,
,,,,,,,,,,
Very flat area Gauges give some protection,,,,,,,,,,
Water Works marked on 1959 OS map,,,,,,,,,,
Gauge read monthly,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Broughton P Sta SRC_ID 7647,,,,,,,,,,
1961-2 no readings,,,,,,,,,,
Station still in use 2021,,,,,,,,,,
