AUCHENGRAY LANARK,,,,,,,,,,
Grid ref,NS 99034 53478,Long,-3.610686,Lat,55.76407,Elevation,650,ft,,
Station no,RR3078,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,2.55,1.85,3.4,
February,,,,,,,3.7,1,0.98,
March,,,,,,,0.1,2.08,1.65,
April,,,,,,,1.81,2.35,1.75,
May,,,,,,,3.48,1.49,3.25,
June,,,,,,,4.63,4.7,3.15,
July,,,,,,,2.28,3.62,2.8,
August,,,,,,,4.02,1.6,,
September,,,,,,,3.47,4.49,,
October,,,,,,,1.3,3.05,,
November,,,,,,,0.98,2.9,,
December,,,,,,,4.02,3.88,,
Total,,,,,,,32.34,33.01,,
