CHELFORD-KNUTSFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ811748,Long,-2.2848473,Lat,53.269849,Elevation,260,ft.,,,,,,,,,,,,
Station no,RR4026,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.56,1.08,1.93,2.75,3.02,2.2,2.61,2.11,1.13,4.17,2.47,2.7,3.81,,,,
February,,,,0.7,2.4,1.75,2.71,2.22,1.95,2.87,0.96,2.81,2.82,0.57,2.09,0.88,,,,
March,,,,0.96,1.72,1.48,1.74,1.34,2.91,1.3,1.71,1.2,2.71,2.58,2.48,0.68,,,,
April,,,,1.28,1.08,1.53,0.98,3.66,2.29,2.06,2.04,2.91,3.3,0.85,1.49,0.7,,,,
May,,,,1.69,2.77,3.71,1.36,2,1.16,3.77,1.17,1.55,3.09,2.34,1.67,2.33,,,,
June,,,,5.27,2.61,1,4.77,1.78,0.27,1.19,1.64,4.55,6.73,2.15,0.65,3.16,,,,
July,,,,1.92,1.52,3.18,2.85,3.63,0.27,1.29,1.23,5.44,6.58,3.72,2.5,5.31,,,,
August,,,,3.78,1.98,4.22,5.27,1.29,3.71,2.41,1.48,1.73,3.74,4.81,3.88,3.85,,,,
September,,,,4.74,2.92,0.35,4.9,2.96,1.57,6.8,2.52,4.45,5.34,3.07,3.8,4.47,,,,
October,,,,5.01,1.86,4.2,1.94,3.88,4.8,2.8,6.44,4.44,5.41,3.81,3.37,4.74,,,,
November,,,,2.31,2.51,2.43,4.69,1.75,1.85,4.33,2.32,1.65,3.59,2.46,2.95,3.9,,,,
December,,,,2.31,1.8,0.71,2.91,3.44,7.81,3.78,2.19,2.1,3.82,0.82,2.96,1.51,,,,
Total,,,,33.53,24.25,26.49,36.87,30.97,30.79,35.21,25.81,33.96,51.3,29.65,30.54,35.34,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is centre of Chelford, near Knutsford. Altitudes match for most of the village. Cannot find the observer Charles Nichols, NGR could be +/- 1km",,,,,,,,,,,,,,,,,,,,
