"STANSTED (BENTFIELD PLACE)",,,,,,,,,,,,
Grid ref,TL508251,Long,0.190604,Lat,51.904036,,,,,,,
Station no,1244,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,,,,,,,,,,,
February,4.20,,,,,,,,,,,
March,3.26,,,,,,,,,,,
April,2.68,,,,,,,,,,,
May,2.53,,,,,,,,,,,
June,1.45,,,,,,,,,,,
July,0.81,,,,,,,,,,,
August,5.54,,,,,,,,,,,
September,2.84,,,,,,,,,,,
October,0.94,,,,,,,,,,,
November,4.08,,,,,,,,,,,
December,1.66,,,,,,,,,,,
Total,32.85,,,,,,,,,,,
Calc annual,32.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
