SLEIGHTS - THE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ866071,Long,-0.666,Lat,54.452,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
January,3.74,3.31,2.47,2.09,1.49,3.33,2.04,4.35,2.52,4.50,3.91,2.06,3.05,1.89,3.07,5.69,5.52,3.20,4.72,1.20,3.95,4.36,3.94,1.41,5.17,1.64,2.69,7.45,0.66,1.38,1.79,2.30,1.39,,1.31,5.00,1.75
February,0.33,2.44,4.84,1.60,3.88,2.30,1.36,1.67,1.32,1.78,2.42,1.01,3.42,2.42,3.41,3.17,3.89,1.35,1.93,1.99,7.64,1.49,0.77,2.70,1.60,1.27,5.31,1.03,0.81,3.17,3.13,0.90,2.05,,2.12,3.40,3.81
March,0.98,1.26,1.30,0.99,2.13,0.67,1.91,2.66,0.15,2.87,0.87,2.64,1.95,3.55,1.05,1.03,6.40,0.13,2.38,1.79,3.10,0.80,0.56,0.80,0.47,1.34,5.25,1.27,1.22,0.98,4.28,1.16,0.33,,2.02,1.08,1.26
April,1.32,3.55,1.95,1.72,2.63,1.43,2.01,1.90,1.14,3.76,3.69,2.01,0.76,2.53,3.13,1.20,3.23,0.32,2.24,2.01,1.98,1.33,0.74,1.76,2.00,2.57,3.46,0.91,1.94,1.78,1.87,,2.85,0.26,0.87,0.36,0.66
May,2.16,2.11,3.91,4.82,1.90,1.19,0.82,1.56,1.20,1.61,1.83,9.27,2.40,1.15,1.80,2.29,3.97,3.36,2.31,0.42,2.03,2.44,2.95,1.25,2.87,2.16,1.76,1.41,1.19,2.04,6.61,,3.08,2.70,2.93,0.52,0.76
June,0.59,2.41,0.96,2.07,0.59,3.06,2.96,4.78,1.63,1.38,4.27,0.89,1.85,1.59,2.30,3.25,1.05,1.95,3.73,0.75,0.72,2.22,1.23,2.81,2.26,2.30,2.25,6.61,0.56,1.09,1.56,1.15,3.50,1.82,2.46,3.54,1.87
July,1.60,3.99,2.71,4.12,3.34,3.33,2.74,0.48,2.92,9.34,3.10,3.52,1.96,,0.29,3.00,1.65,2.90,2.48,6.50,2.37,3.38,1.72,2.80,1.57,3.37,1.60,1.30,1.89,2.53,1.73,1.88,2.03,1.33,1.11,2.31,3.37
August,4.50,3.48,4.26,1.72,4.15,4.10,5.23,3.64,2.47,3.04,2.15,1.92,0.43,2.84,1.54,1.65,1.85,2.56,3.47,1.71,2.63,2.12,3.04,4.24,4.66,3.93,0.15,3.24,1.90,4.18,6.31,1.48,2.49,7.49,0.94,6.99,2.89
September,0.87,3.23,2.06,2.89,2.60,1.63,4.97,0.86,0.34,5.32,4.73,2.24,1.74,1.01,5.21,2.67,1.84,1.77,1.47,1.94,0.57,2.35,3.86,5.05,1.74,3.97,1.85,1.47,0.59,2.22,1.29,5.76,,1.47,1.18,1.92,4.23
October,1.91,1.70,2.32,3.67,2.71,3.75,2.22,4.76,2.57,2.24,2.40,4.39,5.54,1.60,3.71,1.94,3.36,3.42,5.55,3.92,4.18,1.79,1.39,4.05,2.49,1.08,0.53,1.09,2.58,0.82,2.03,2.94,2.08,3.85,3.61,2.10,2.79
November,3.07,2.02,4.81,1.50,4.23,4.86,5.90,3.10,3.21,4.28,2.85,1.49,3.59,3.61,6.17,2.52,3.27,2.83,2.65,3.88,3.05,2.13,4.05,5.86,1.60,5.91,1.66,0.49,3.87,4.77,5.92,5.83,2.06,5.51,1.62,2.32,
December,1.85,4.71,4.18,3.13,6.73,1.34,3.18,1.42,6.19,3.62,1.94,1.32,1.14,4.92,2.88,1.95,5.97,4.02,2.50,3.43,0.73,1.99,1.74,2.59,2.14,4.39,2.27,2.50,2.31,3.88,2.44,3.29,1.22,2.24,3.64,2.64,
Total,22.92,34.21,35.77,30.32,36.38,30.99,35.34,31.18,25.66,43.74,34.16,32.76,27.83,,34.56,30.36,42.00,27.81,35.43,29.54,32.95,26.40,25.99,35.32,28.57,33.93,28.78,28.77,19.52,28.84,38.96,,,,23.81,32.18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
