"SLEIGHTS (THE HALL) (HALL COTTAGE)",,,,,,,,,,,,
Grid ref,NZ866061,Long,-0.666155,Lat,54.442937,,,,,,,
Station no,3471,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,2.30,1.39,2.73,1.31,5.00,1.75,,,,,
February,3.13,0.90,2.05,2.23,2.12,3.40,3.81,,,,,
March,4.28,1.16,0.33,2.14,2.02,1.08,1.26,,,,,
April,1.87,0.87,2.85,0.26,0.87,0.36,0.66,,,,,
May,6.61,1.50,3.08,2.70,2.93,0.52,0.76,,,,,
June,1.56,1.15,3.50,1.82,2.46,3.54,1.87,,,,,
July,1.73,1.88,2.03,1.33,1.11,2.31,3.37,,,,,
August,6.31,1.48,2.49,7.49,0.94,6.99,2.89,,,,,
September,1.29,5.76,1.40,1.47,1.18,1.92,4.23,,,,,
October,2.03,2.94,2.08,3.85,3.61,2.10,2.79,,,,,
November,5.92,5.83,2.06,5.51,1.62,2.32,,,,,,
December,2.44,3.29,1.22,2.24,3.64,2.64,,,,,,
Total,38.96,29.06,24.48,33.77,23.81,32.18,,,,,,
Calc annual,38.96,29.06,24.48,33.77,23.81,32.18,23.39,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
