"WESTERDALE",,,,,,,,,,,,
Grid ref,NZ664052,Long,-0.977773,Lat,54.437886,,,,,,,
Station no,3469/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.14,2.72,3.84,2.27,3.80,2.67,5.06,,
February,,,,1.79,2.52,2.89,4.06,3.70,0.69,2.85,,
March,,,,2.56,2.11,1.03,1.42,2.93,1.74,1.57,,
April,,,,0.17,1.44,1.17,0.87,1.71,3.06,1.05,,
May,,,,3.94,3.11,0.84,1.13,3.53,0.98,1.47,,
June,,,,1.99,2.44,5.40,1.89,4.18,1.73,0.71,,
July,,,,2.05,1.64,4.31,4.61,3.16,2.97,6.13,,
August,,,,9.28,1.09,9.43,4.33,3.02,0.58,3.03,,
September,,,,2.07,1.73,2.56,3.75,2.58,0.52,3.68,,
October,,,,6.03,3.49,2.69,2.57,2.43,2.34,10.54,,
November,,,,7.77,3.47,2.93,3.32,1.13,6.08,5.71,,
December,,,,2.51,4.40,2.40,3.16,4.73,7.87,4.15,,
Total,,,,43.30,30.16,39.49,33.38,36.90,31.23,45.95,,
Calc annual,0.00,0.00,0.00,43.30,30.16,39.49,33.38,36.90,31.23,45.95,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
