COLDSTREAM SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT840399,Long,-2.2558204,Lat,55.652366,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,,,,,,,,2.32,1.37,1.64,1.5,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,1.17,1.15,1.34,1.66,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,3,0.1,2.17,0.94,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,0.97,1.52,1.25,2.19,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,0.88,0.78,0.95,2.09,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,4.5,2,1.2,4.31,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,1.64,3.04,5.39,3.73,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,3.8,3.7,4.12,2.54,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,1.15,0.36,3.12,1.73,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,2.18,2.47,2.08,1.22,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,2.44,2.81,3.09,2.61,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,1.36,3.53,1.48,0.61,,,,,,,,,
Total,,,,18.96,23.35,23.99,39.45,29.09,26.02,24.46,26.09,22.94,22.45,24.43,24.76,28.03,35.29,31.79,25.41,22.83,27.83,25.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916, 1924, 1926 totals not transcribed, added manually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
