LLANTRISANT-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SH388829,Long,-4.4214497,Lat,53.318417,Elevation,300,ft,,,,,,,,,,,,
Station no,RR7389,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.25,1.25,3.97,2.2,3.61,1.84,2.8,4.11,2.42,4.07,2.21,2.43,,
February,,,,,,,3.21,1.47,2.48,0.84,3.4,2.6,2.21,1.51,4.06,4.78,4.28,2.04,,
March,,,,,,,2.78,2.43,2.98,3.73,1.63,1.82,4.84,3.2,3.61,1.16,2.6,2.35,,
April,,,,,,,1.43,2.66,3.48,3.48,3.4,2.36,0.22,3.05,0.8,2.19,2.05,1.9,,
May,,,,,,,4.16,2.63,2.71,1.8,2.29,1.49,1.48,2.23,2.13,2.28,5.42,3.65,,
June,,,,,,,1.31,5.55,3.16,0.97,2.21,1.86,5.51,2.53,1.01,0.96,1.93,2.21,,
July,,,,,,,1.28,1.45,4.29,5.24,3.75,0.93,5.16,1.94,3.55,2.62,1.96,1.42,,
August,,,,,,,4.78,4.7,3.94,2.31,5.33,3.58,5.07,1.35,2.51,2.65,2.49,9.07,,
September,,,,,,,1.04,0.77,4.39,3.77,0.92,4.13,0.89,4.93,3.1,1.64,3.61,2.66,,
October,,,,,,,6.25,8.27,1.97,7.22,2.45,3.12,5.34,4.62,1.84,3.1,5.23,7.57,,
November,,,,,,,2.25,4.33,3.66,2.59,7.01,5,3.87,4.73,4.14,3.39,5.45,3.19,,
December,,,,,,,3.78,4.14,5.05,5.8,5.55,6.86,3.46,2.23,6.47,7.96,5.31,2.31,,
Total,,,,,,,36.52,39.65,42.08,39.95,41.55,35.59,40.85,36.43,35.64,36.8,42.54,40.8,,
