LEISTON-DANEWAY,,,,,,,,,,,,,,,,,,,,
Grid ref,TM442618,Long,1.5721659,Lat,52.200295,Elevation,50,ft,,,,,,,,,,,,
Station no,1367/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.19,5.2,1.9,2.56,3.03,3.75,1.68,1.89,,,,,
February,,,,,,,,0.66,0.97,1.3,2.09,0.78,0.53,1.37,1.86,,,,,
March,,,,,,,,0.44,2,3.56,2.62,2.55,0.33,0.42,0.97,,,,,
April,,,,,,,,0.55,3.21,1.03,1.25,0.71,0.74,1.79,1.51,,,,,
May,,,,,,,,2.56,0.78,0.12,2.06,2.33,0.97,0.46,2.4,,,,,
June,,,,,,,,0.7,1.65,0.68,1.13,0.34,1.54,1.84,2.41,,,,,
July,,,,,,,,1.84,1.91,3.48,2.39,2.24,0.93,1.28,1.25,,,,,
August,,,,,,,,0.27,1.43,0.54,3.39,1.42,1.44,1.03,2.43,,,,,
September,,,,,,,,2.62,0.84,0.8,0.28,2.14,3.07,2.68,1.2,,,,,
October,,,,,,,,2.92,8.65,2.42,2.23,4.08,1.46,3.93,1.14,,,,,
November,,,,,,,,2.24,4.46,6.02,1.95,3.24,2.47,3.91,1.45,,,,,
December,,,,,,,,2.88,1.54,1.77,1.3,2.66,1.63,1.71,2.51,,,,,
Total,,,,,,,,19.87,32.64,23.62,23.25,25.52,18.86,22.1,21.02,,,,,
,,,,,,,,,,,,,,,,,,,,
