LOCH SEILICH (GAICK LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN756848,Long,-4.046134,Lat,56.937706,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,8.62,6.26,7.31,2.89,5.19,9.11,7.92,13.75,0.93,,2.9,,,,,,,,,
February,,,,,,,,,,,,1.51,4.45,9.34,2.69,6.84,4.39,2.1,5.61,1.55,2.15,3.6,,,,,,,,,
March,,,,,,,,,,,,6.92,3.17,2.5,0.98,2.97,3.88,4.59,7.85,1.21,,2.35,,,,,,,,,
April,,,,,,,,,,,,1.4,4.03,2.67,1.96,6.37,3.41,4.11,3.15,1.97,2.75,2.95,,,,,,,,,
May,,,,,,,,,,,,4.01,4.22,4.56,5.09,6.91,4.85,3.45,2.75,3.78,,3,,,,,,,,,
June,,,,3.45,1.99,1.63,,3.59,,3.69,,1.11,2.39,2.06,1.8,0.9,3.76,5.53,4.98,2.98,2.4,5.25,,,,,,,,,
July,,,,0.61,3.04,3.62,4.51,1.69,,0.85,,3.03,4.78,2.99,5.23,3.24,2.88,6.56,2.57,4.03,3.09,,,,,,,,,,
August,,,,1.18,3.01,4.42,3.92,5.74,,2.55,3.29,4.6,3.31,6.37,5.49,2.93,3.24,3.83,7.22,4.92,,3,,,,,,,,,
September,,,,2.96,1.79,3.91,2.07,2.84,,4.02,2.84,2.05,1.77,4.83,8.02,4.47,3.62,7.05,5.18,2.14,4.1,2.45,,,,,,,,,
October,,,,,,,,,,,3.69,3.83,3,9.2,4.9,5.56,7.45,6.53,9.2,8.29,,3.97,,,,,,,,,
November,,,,,,,,,,,7.86,3.49,5.02,3.28,3.37,1.66,7.93,5.04,7.97,5.1,,3.56,,,,,,,,,
December,,,,,,,,,,,6.94,6.3,6.49,3.53,11.76,4.94,2.56,0.92,4.35,4.17,,3.87,,,,,,,,,
Total,,,,,,,,,,,,46.87,48.89,58.64,54.18,51.98,57.08,57.63,74.58,41.07,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 Oct deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jul deleted partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Deleted mamy est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jul+T Est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
