LOCH SEILICH (GAICK LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN756848,Long,-4.046134,Lat,56.937706,Elevation,1430,ft,,,,,,,,,,,,
Station no,5692,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6,6.25,5.64,6.25,3.95,4.65,6.55,4.45,2.84,5.4,10.4,8.55,4.8,3.15
February,,,,,,4.13,1.73,7.05,5.35,7.8,3.05,3.9,1.95,3.89,3.92,4.28,6.75,3.64,1.86,3.75
March,,,,,,1.82,3.75,5.5,2.75,3.6,1.32,3.6,1.38,3.93,4.9,3.47,5.1,3.6,5.47,2.22
April,,,,,,1.8,10.99,3.85,3.7,4.55,6.3,3.15,2.92,2.35,1.5,2.45,2.16,2.11,4.96,5.89
May,,,,,,1.25,4.29,4,2.3,1.75,1.9,4.55,4.75,3.61,2.78,4.41,2.15,4.69,3.13,2.21
June,,,,,,4.46,4.89,5.64,4.03,2.55,3.47,2.95,2.32,2.65,1.45,5.2,2,2.31,2.92,2.84
July,,,,,,6.55,4.3,3.92,1.4,5.74,3.4,1.55,4.9,2.79,0.83,5.68,5,5.23,5.48,3.98
August,,,,,,4.3,0,7.5,4.15,6.3,8.15,2.65,3.9,2.56,1.19,5.46,6.36,5.25,2.66,6.06
September,,,,,,5.41,5.85,5.2,1.55,8.95,2.15,3.16,3.98,7.05,3.76,6.55,3.35,5.38,0.89,3.36
October,,,,,,0.4,2.2,4.2,4.8,5.85,1.35,7.2,4.08,8.55,4.8,4.85,4.56,5.43,7.65,3.03
November,,,,,,6.9,8.9,4.01,6.5,3.89,8,3.2,6.48,12.5,2.66,5.25,1.97,1.36,7.05,6.61
December,,,,,,5.07,2.5,9.9,9.3,3.2,7.19,3.55,7.64,9.2,11.6,11.85,7.87,5.57,10.01,1.85
Total,,,,,,,55.4,67.02,51.47,60.43,50.23,44.11,50.85,63.53,42.23,64.85,57.67,53.12,56.88,44.95
,,,,,,,,,,,,,,,,,,,,
1946 Jan+T deleted est,,,,,,,,,,,,,,,,,,,,
