WIMBORNE STONEHAM,,,,,,,,,,,,
Grid ref,SU016004,Long,-1.978662,Lat,50.803156,,,,,,,
Station no,RR8940,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.89,0.85,1.00,,
February,,,,,,,,1.35,0.96,0.44,,
March,,,,,,,,0.42,2.96,3.77,,
April,,,,,,,,3.58,1.69,1.31,,
May,,,,,,,,1.77,2.17,1.60,,
June,,,,,,,,1.89,0.41,3.99,,
July,,,,,,,,1.06,1.66,2.51,,
August,,,,,,,,1.30,3.61,2.75,,
September,,,,,,,,0.49,1.57,3.48,,
October,,,,,,,,9.65,1.99,8.06,,
November,,,,,,,,2.66,0.80,0.59,,
December,,,,,,,,3.54,3.07,4.35,,
Total,,,,,,,,28.60,21.74,33.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.60,21.74,33.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
