WIMBORNE-STONEHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU016004,Long,-1.97769,Lat,50.80345,Elevation,200,ft,,,,,,,,,,,,
Station no,RR8940,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.89,0.85,1,,1.42,4.73,5.77,0.44,,,,,
February,,,,,,,,1.35,0.96,0.44,,1.67,2.73,1.49,4.94,,,,,
March,,,,,,,,0.42,2.96,3.77,,2.41,4.38,2.56,5.07,,,,,
April,,,,,,,,3.58,1.69,1.31,,1.87,0.57,3.49,1.09,,,,,
May,,,,,,,,1.77,2.17,1.6,,1.1,1.59,2.56,1.08,,,,,
June,,,,,,,,1.89,0.41,3.99,,1.87,4.29,0.56,1.67,,,,,
July,,,,,,,,1.06,1.66,2.51,,0.16,2.68,1.08,3.94,,,,,
August,,,,,,,,1.3,3.61,2.75,,0.94,6.86,1.42,3.59,,,,,
September,,,,,,,,0.49,1.57,3.48,,1,2.28,3.82,1.93,,,,,
October,,,,,,,,9.65,1.99,8.06,,4.47,4.17,4.82,3.35,,,,,
November,,,,,,,,2.66,0.8,0.59,,4.03,2.04,3.44,6.3,,,,,
December,,,,,,,,3.54,3.07,4.35,,9,4.93,2.05,8.8,,,,,
Total,,,,,,,,28.6,21.74,33.85,,29.94,41.25,33.06,42.2,,,,,
,,,,,,,,,,,,,,,,,,,,
1909 Jan 1 Gauge moved 16yds ESE,,,,,,,,,,,,,,,,,,,,
