KINGS-LYNN-WORMEGAY-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TF647114,Long,0.43461483,Lat,52.675274,Elevation,36,ft,,,,,,,,,,,,
Station no,1468/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.22,1.39,2.31,,3.11,1.87,,,,,,
February,,,,,,,,,0.46,2.07,2.7,,0.53,1.07,,,,,,
March,,,,,,,,,2.53,2.23,2.97,,0.86,0.21,,,,,,
April,,,,,,,,,1.13,1.57,0.74,,1.35,1.74,,,,,,
May,,,,,,,,,1.44,1.34,2.25,,1.83,1.39,,,,,,
June,,,,,,,,,1.97,0.5,0.95,,1.73,1.52,,,,,,
July,,,,,,,,,1.6,1.82,2.96,,0.61,2.21,,,,,,
August,,,,,,,,,1.79,0.78,3.85,,2.05,,,,,,,
September,,,,,,,,,2.04,1.37,0.56,,2.26,,,,,,,
October,,,,,,,,,3.4,1.96,2.32,,1.6,4.12,,,,,,
November,,,,,,,,,3.99,5.46,2.4,,1.87,3.24,,,,,,
December,,,,,,,,,1.73,1.58,0.99,,1.5,0.97,,,,,,
Total,,,,,,,,,26.3,22.07,25,,19.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1944 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,
