STEVENAGE-SIX-HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL237236,Long,-0.20362428,Lat,51.897227,Elevation,296,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,967/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.15,3.28,4.97,2.55,3.23,3.72,4.5,1.46,3.08,,,,,,,,,,,,,,,
February,,,,,,,3.97,0.54,0.68,1.67,2.07,1.63,1.15,1.1,1.85,,,,,,,,,,,,,,,
March,,,,,,,3.61,0.32,1.66,2.19,3.07,1.07,0.55,0.17,0.61,,,,,,,,,,,,,,,
April,,,,,,,2.74,0.12,2.53,1.22,1.22,1.12,1.24,1.86,1.17,,,,,,,,,,,,,,,
May,,,,,,,3.38,1.84,1.74,2.65,1.66,2.73,2.01,1.3,1.66,,,,,,,,,,,,,,,
June,,,,,,,3.03,0.5,1.81,0.79,1.15,0.35,1.44,1.57,1.8,,,,,,,,,,,,,,,
July,,,,,,,2.49,2.1,1.92,3.26,3.08,2.44,0.81,1.58,2.57,,,,,,,,,,,,,,,
August,,,,,,,2,2.26,3.36,0.06,4.14,2.17,1.68,2.54,1.55,,,,,,,,,,,,,,,
September,,,,,,,1.92,1.56,1.14,0.64,0.54,1.68,1.75,2.59,2.01,,,,,,,,,,,,,,,
October,,,,,,,2.63,2.64,4.23,2.62,1.21,4.41,3.11,3.35,2.54,,,,,,,,,,,,,,,
November,,,,,,3.84,1.93,3.24,3.9,6.66,2.34,1.76,1.35,3.38,0.27,,,,,,,,,,,,,,,
December,,,,,,1.9,3.36,3.97,1.23,1.44,1.34,3.19,1.36,1.32,3.28,,,,,,,,,,,,,,,
Total,,,,,,,35.21,22.37,29.17,25.75,25.05,26.27,20.95,22.22,22.39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950s TYR blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
