DOLGELLY-SCHOOLS-DR-WILLIAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH720180,Long,-3.8976033,Lat,52.744422,Elevation,30,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.19,5.28,2.34,15.06,2.31,4.81,,,6.83,8.12,4.96,4.55,,6.63,8.36,,8.83,,,,,,,
February,,,,,,,,2.91,4.64,1.5,7.04,4.33,3.19,,,9.25,7.36,4.8,4.59,,5.24,0.22,,15.54,,,,,,,
March,,,,,,,,3.76,6.06,4.35,3.92,3.08,10.42,,,3.44,1.84,6.16,0.42,,3.14,9.38,,3.05,,,,,,,
April,,,,,,,,2.4,4.15,5.27,5.25,3.79,1.41,,,2.38,6.17,5.4,4.62,,11.4,1.79,,5.02,,,,,,,
May,,,,,,,,2.97,4.78,1.85,2.05,1.65,0.97,,,3.21,7.44,5.01,4.09,,5.07,3.31,,5.89,,,,,,,
June,,,,,,,,5.45,2.32,3.54,3.61,1.98,6.39,,,1.14,5.67,6.4,2.93,,3.34,0.43,,1.43,,,,,,,
July,,,,,,,,3.13,4.92,4.26,4.63,0.72,5.26,,,4.79,5.56,3.14,3.95,,7.96,2.7,,,,,,,,,
August,,,,,,,,3.98,4.35,1.04,7.75,5.82,7.7,,,6.27,4.88,12.32,3.1,,3.61,5.32,,,,,,,,,
September,,,,,,,,0.98,4.52,4.03,0.48,2.93,1.54,,,7.42,5.27,7.57,13.16,,4.27,1.26,,,,,,,,,
October,,,,,,,,9.18,1.45,12.14,3.63,4.76,6.07,,,4.7,13.86,9.53,5.03,,5.11,5.76,,11,,,,,,,
November,,,,,,,,4.42,5.59,3.07,7.01,7.3,5.05,,,5.19,9.36,8.68,5.12,,3.52,5.44,,6.7,,,,,,,
December,,,,,,,,4.27,4,7.6,12.07,10.91,8.19,,,12.28,5.86,5.02,8.85,,5.11,6.44,,5.88,,,,,,,
Total,,,,,,,,46.64,52.06,50.99,72.5,49.58,61,,,66.9,81.39,78.99,60.41,,64.4,50.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Dr Williams' School opened in 1878 as a school for girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No explanation is given for the gaps in the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
