RISHWORTH-LODGE-HOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE021146,Long,-1.9697208,Lat,53.627927,Elevation,1450,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3212/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.45,5.99,5.04,8.3,6.27,2.94,2.27,5.67,7.61,8.86,4.67,6.9,4.64,11.25,3.33,4.01,5.89,-999,2.08,4.24,3.72,6.19,5.26,5.79,4.44,6.84
February,,,,,8.64,3.27,7.11,2.81,5.99,3.12,6.37,1.74,4.35,2.84,7.89,7.22,3.8,4.09,4.36,6.75,3.89,-999,3.13,3.24,3.2,1.66,4.06,8.21,0.46,4.75
March,,,,4.51,2.54,3.81,3.01,2.13,3.55,4.15,5.57,3.39,1.94,0.64,1.92,2.23,8,2.64,2.28,3.35,6.78,3.7,2.08,3.1,2.88,2.19,4.09,2.95,2.36,1.93
April,,,,3.03,5.02,1.99,3.27,0.76,3,2.82,3.3,3.41,3.14,3.99,3.82,2.42,5.78,3.04,5.38,4.95,3.03,4.8,3.84,0.69,2.17,3.66,0.5,1.7,5.18,3.42
May,,,,4.23,1.01,1.35,2.95,4.71,1.38,1.47,2.95,5.3,3.46,4.47,4.99,2.44,4.64,1.82,5.82,3.16,3.75,3.3,2.76,3.18,4.24,1.95,1.74,5.3,2.43,2.77
June,,,,3.2,5.99,5.71,4.04,5.94,4.45,1.13,1.26,1.64,4.58,4.64,6.84,5,4.23,6.02,0.9,2.48,1.22,4.41,3.15,3.58,3.45,3.55,2.04,7.46,2.68,2.27
July,,,,4.57,2.98,4.93,3.27,5.76,7.88,5.14,2.27,5.26,3.66,4.98,2.45,6.15,3.41,3.51,3.28,4.26,4.36,3.13,6.05,5.23,0.9,8.26,5.98,6.08,4.05,7.49
August,,,,4.58,2.65,3.03,2.69,4.89,2.69,3.19,8.73,6.34,7.3,5.48,4.15,6.66,0.48,7.05,3.42,7.5,7.57,5.5,5.28,6.59,1.12,12.97,6.8,5.05,0.89,6.97
September,,,,4.69,9.22,7.9,2.47,2.63,1.87,5.85,0.86,3.69,6.07,6.88,3.81,9.01,4.22,4.02,1.5,9.42,4.1,4.81,3.39,5.54,2.81,4.86,6.39,6.07,0.79,3.41
October,,,,6.83,13.56,7.2,3.1,14.54,3.59,6.19,6.77,7.52,3.72,5.74,7.5,1.99,2.02,3.54,6.22,3.17,1.81,7.47,2.71,8.69,3.27,3.19,7.89,5.37,5.19,6.67
November,,,,3.39,8.22,8.14,3.03,7.45,9.86,9.3,4.32,1.86,4.42,9.97,1.24,10.4,9.63,2.71,7.96,7.41,11.53,3.08,5.01,6.25,2.36,2.29,3.94,2.16,5.71,9.27
December,,,,7.82,3.35,6.04,2.97,5.88,4.36,5.5,3.1,4.67,3.64,5.7,3.58,5.21,5.78,5.11,9.36,4.49,10.18,4.83,2.23,7.12,7.06,5.5,6.71,5.45,9.44,6.02
Total,,,,,65.63,59.36,42.95,65.8,54.89,50.8,47.77,50.49,53.89,64.19,52.86,65.63,56.63,54.8,53.81,60.95,64.11,52.26,41.71,57.45,37.18,56.27,55.4,61.59,43.62,61.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Lodge Hole. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2645 and is still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
