PASS OF BRANDER,,,,,,,,,,
Grid ref,NN050284,Long,-5.162066,Lat,56.407459,Elevation,200,ft,,
Station no,5408/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,8.01,14.74,9.44,3.46,6.11
February,,,,,,4.59,6.71,4.99,4.92,6.39
March,,,,,,3.75,10.07,1.91,5.8,3.3
April,,,,,,3.78,4.19,3.81,5.55,7.54
May,,,,,,7.19,3.13,7.05,1.29,3.42
June,,,,,,4.42,5.66,2.61,5.37,5.42
July,,,,,,8.11,8.81,3.6,10.52,5.41
August,,,,,,7.4,8.12,8.15,3.98,6.59
September,,,,,,5.49,6.76,8.41,3.36,4.86
October,,,,,9.19,6.19,12.1,9.8,9.14,3.09
November,,,,,3.87,8.09,4.95,3.78,12.45,6.68
December,,,,,14.05,14.57,11.25,6.66,12.42,11.46
Total,,,,,,81.59,96.49,70.21,78.26,70.27
,,,,,,,,,,
,,,,,,,,,,
Station no,5408/3,,,,,,,,,
Midas,13943,,,,,,,,,
Hyd Stn,687209,,,,,,,,,
