WEST-CLANDON-MARKSDENE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ044528,Long,-0.50503339,Lat,51.264806,Elevation,201,ft.,,,,,,,,,,,,
Station no,211/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.38,1.6,1.51,0.87,2.67,5.62,2.62,4.59,2.36,2.58,2.71,5.51,,,,,,,
February,,0.3,3.83,0.15,3.75,1.67,4.13,0.32,1.49,2.83,2.29,0.64,1.53,,,,,,,
March,,1.52,2.27,2.57,0.05,1.24,4.08,0.19,1.15,3.42,3.44,1.69,0.4,,,,,,,
April,,1.89,1.1,1.62,2.86,1.99,2.16,0.2,2.72,1.87,1.5,1.23,0.99,,,,,,,
May,,3.29,1.82,0.42,1.85,1.62,2.44,1.31,1.68,1.21,2.2,3.27,2.08,,,,,,,
June,,1.48,2.22,1.46,3.03,2.96,1.88,0.44,1.59,0.88,2.31,,0.83,,,,,,,
July,,2.4,1.25,2.03,1.03,3.5,0.95,2.08,2.54,2.13,3.48,1.73,2.04,,,,,,,
August,,0.85,0.75,1.68,2.81,0.75,0.71,1.5,2.1,0.02,4.44,3.06,0.93,,,,,,,
September,,1.65,2.69,1.7,3.36,1.91,2.23,2.01,0.73,1.12,0.34,1.62,1.71,,,,,,,
October,,4.97,1.3,1.28,3.24,1.53,3.43,2.14,5.38,2.84,1.18,3.57,2.73,,,,,,,
November,,0.9,0.98,2.59,5.14,2.88,1.59,4.03,3.87,6.82,3.12,1.8,0.99,,,,,,,
December,,0.5,0.44,6.8,2.63,2.6,4.51,4.04,1.32,1.27,1.67,3.22,1.92,,,,,,,
Total,,22.13,20.25,23.81,30.62,25.32,33.73,20.88,29.16,26.77,28.55,,21.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1940s record and is in West Clandon the stated distance, 200 yards, from the station but wrong direction",,,,,,,,,,,,,,,,,,,,
"Altitudes match. Cannot find Marksdene or the observer, J F Franey.",,,,,,,,,,,,,,,,,,,,
"It is likely that Marksdene is Old House, which is 150m SW and matches the elationship to the station",,,,,,,,,,,,,,,,,,,,
