PORTISHAM,,,,,,,,,,,,
Grid ref,SY624843,Long,-2.533282,Lat,50.657155,,,,,,,
Station no,RR6698,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.72,2.32,,,,,,,,,,
February,4.95,1.09,,,,,,,,,,
March,1.44,2.45,,,,,,,,,,
April,1.48,2.87,,,,,,,,,,
May,1.62,1.16,,,,,,,,,,
June,2.77,1.54,,,,,,,,,,
July,0.68,,,,,,,,,,,
August,1.89,,,,,,,,,,,
September,1.01,,,,,,,,,,,
October,1.95,,,,,,,,,,,
November,4.39,,,,,,,,,,,
December,5.38,,,,,,,,,,,
Total,32.28,,,,,,,,,,,
Calc annual,32.28,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
