SHOEBURYNESS (8” gauge),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ948857,Long,0.807428,Lat,51.536582,Elevation,11,ft,,,,,,,,,,,,
Station no,1271/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.05,0.76,0.37,1.86,1.76,0.65,2.69,1.22,1.02,0.6,1.15,0.9,2.93,2.08,0.63,1.96,0.75,1.13,2.74,2.73
February,2.84,0.53,1.4,0.88,1.39,0.41,1.38,0.99,1.16,1.09,2,0.65,1.11,0.57,1.09,1.61,2.86,0.48,0.71,2.32
March,0.74,1.59,0.7,0.82,1.3,1.42,0.85,0.8,1.31,2.26,1.15,1.58,1.75,1.65,4.23,0.88,3.45,1.87,0.85,2.19
April,1.32,1.03,0.16,1.62,0.55,1.89,0.79,1.82,2.08,1.48,1.04,1.25,0.09,2.19,0.7,0.92,1.07,1.69,1.84,2.62
May,0.9,0.52,2.12,2.07,1.66,0.56,1.93,1.64,1.23,1.05,3.02,0.83,0.55,1.3,0.87,2.58,1.39,1.48,1.35,0.26
June,2.25,0.63,2.16,6.15,1,3.5,1.75,2.15,1.09,2.38,1.99,1.97,1.85,0.17,0.46,0.8,1.72,0.65,0.67,1.04
July,1.05,1.59,0.91,4.8,1.61,0.24,0.71,1.01,2.66,2.65,1.62,0.12,1.35,2.55,2.54,2.42,1.04,3.52,4.74,2.31
August,1.22,1.03,2.25,3.16,1.64,1.47,0.33,1.32,2.01,2.18,1.64,1.55,3.34,0.35,0.32,2.91,2,4.2,1.68,2.16
September,0.58,1.19,1.18,2.01,0.64,1.49,1.39,0.38,1.03,1.75,0.88,1.04,2.02,0.83,0.54,2.23,0.82,0.67,4.33,0.53
October,1.23,1.09,1.46,3.06,1.59,0.72,3.02,2.77,1.22,5.12,1.34,2.44,1.85,4.57,1.93,2.07,2.06,1.97,1.78,0.91
November,1.78,0.41,1.36,2.23,1.14,1.79,3.75,1.96,1.09,1.26,2.35,3.3,1.54,2.66,2.5,3.05,3.47,1.51,2.34,2.28
December,1.35,2.22,1.25,0.86,1.81,0.43,2.06,2.21,2.07,2.74,2.92,3.13,1.81,0.81,4.08,4.23,1.99,1.73,1.29,3.08
Total,17.31,12.59,15.32,29.52,16.09,14.57,20.65,18.27,17.97,24.56,21.1,18.76,20.19,19.73,19.89,25.66,22.62,20.9,24.32,22.43
