TOTLAND-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ322863,Long,-1.54517,Lat,50.67581,Elevation,160,ft,,,,,,,,,,,,,
Station no,RR8756,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,0.99,2.75,4.27,3.28,4.39,4.76,1.17,,,,,,,
February,,,,,,,,1.36,1.15,2.92,0.36,0.19,2.18,4.53,,,,,,,
March,,,,,,,,2.6,1,4.78,2.55,1.08,2.79,1.82,,,,,,,
April,,,,,,,,2.32,1.79,1.26,2.62,0.87,2.86,3.56,,,,,,,
May,,,,,,,,1.67,1.41,0.55,1.35,1.32,0.76,,,,,,,,
June,,,,,,,,1.1,0.94,1.01,2.84,0.2,1.16,,,,,,,,
July,,,,,,,,3.35,3.53,1.65,6.6,0.54,3.42,,,,,,,,
August,,,,,,,,4.02,1.85,3.1,1.07,2.32,2.65,,,,,,,,
September,,,,,,,,1.57,4.94,1.42,2.17,0.72,1.41,,,,,,,,
October,,,,,,,,3.3,1.7,1.02,2.63,1.12,1.16,,,,,,,,
November,,,,,,,,0.73,1.95,1.97,1.16,1.94,1.69,,,,,,,,
December,,,,,,,,1.03,2.44,4.95,2.56,1.9,,,,,,,,,
Total,,,,,,,,24.04,25.45,28.9,29.19,16.59,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1922 Jan 3 Letter from observer at Aston House remarks this gauge is being sheltered by house,,,,,,,,,,,,,,,,,,,,,
1922 Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,
