GLENLEVEN (BLACKWATER HOUSE),,,,,,,,,,
Grid ref,NN282599,Long,-4.807457,Lat,56.699124,Elevation,1070,ft,,
Station no,5403,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.06,7.1
February,,,,,,,,,6.4,4.75
March,,,,,,,,,7.05,3.05
April,,,,,,,,,7,9.55
May,,,,,,,,6.91,2.95,4.25
June,,,,,,,,2.6,5.55,3.6
July,,,,,,,,3.55,6.25,4.7
August,,,,,,,,7.15,6.4,7.2
September,,,,,,,,7,2.2,4
October,,,,,,,,9.45,10.6,2.95
November,,,,,,,,2.75,9.15,9.2
December,,,,,,,,7.5,10.25,9.95
Total,,,,,,,,,78.86,70.3
