HACKNEY-RICHMOND-ROAD-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ345845,Long,-0.061840889,Lat,51.543377,Elevation,65,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.1,2.38,0.25,1.14,1.2,2.27,1.76,1.48,3.12,0.92,0.7,0.65,2.22,,,,,,,,,
February,,,,,,,,,1.33,3.36,1.75,2.56,0.87,2.96,1.47,2.56,0.55,0.31,0.66,1.75,0.98,,,,,,,,,
March,,,,,,,,,0.69,0.75,0.5,2.09,1.35,0.77,1.36,1.58,1.18,0.87,2.91,1.37,1.62,,,,,,,,,
April,,,,,,,,,4.25,2.39,2.02,0.6,2.02,1.42,1.11,2.1,1.29,1.16,2.05,1.92,1.58,,,,,,,,,
May,,,,,,,,,3.86,3.24,0.44,1.45,0.92,1.79,0.63,2.43,3.02,1.52,0.93,3.44,1.42,,,,,,,,,
June,,,,,,,,,4.67,3.89,3.49,2,1.99,1.19,2.57,1.76,0.35,1.02,2.68,1.71,2.51,,,,,,,,,
July,,,,,,,,,0.43,3,5.51,1.65,2.15,2.1,2.54,0.95,2.12,1.22,4.56,3.67,3.31,,,,,,,,,
August,,,,,,,,,4.91,4.58,0.51,5.3,1,0.44,0.75,0.87,0.72,1.69,3.64,1.67,2.06,,,,,,,,,
September,,,,,,,,,0.65,2.61,3.12,1.96,2.42,3.36,1.6,4.44,1.47,2.09,0.83,1.75,0.57,,,,,,,,,
October,,,,,,,,,1.3,0.97,5.58,2.83,4.51,1.45,0.91,3.24,1.82,1.07,1.24,3.61,1.16,,,,,,,,,
November,,,,,,,,,2.67,0.86,1.54,2.16,2.11,2.3,1.48,3.07,2.37,2.99,3.58,0.64,1.48,,,,,,,,,
December,,,,,,,,,1.09,0.8,2.9,2.53,2.01,0.8,2.06,0.89,3.52,1.31,1.06,1.23,0.57,,,,,,,,,
Total,,,,,,,,,26.95,28.83,27.61,26.27,22.55,20.85,18.24,25.37,21.53,16.17,24.84,23.41,19.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is 232 Richmond Road where the observer Dr J W Tripe appears to have lived. Stated altitude may be 10 ft too high.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
