"KILLARNEY DISTRICT ASYLUM",,,,,,,,,,,,
Grid ref,IV9657491771,Long,-9.509167,Lat,52.068550,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.31,5.96,3.27,8.30,8.53,4.57,6.36,2.30,4.48,4.58,,
February,6.13,1.03,4.08,5.17,5.72,2.89,4.64,2.38,3.08,4.08,,
March,1.44,4.84,4.72,12.87,3.56,8.10,2.34,3.07,5.97,3.70,,
April,3.28,4.81,2.19,2.19,3.23,4.10,2.34,3.90,2.82,4.86,,
May,3.75,2.32,3.41,3.07,3.11,1.58,3.75,4.04,3.52,2.45,,
June,5.92,3.58,3.09,2.27,2.23,1.89,3.36,3.21,1.24,1.79,,
July,3.16,1.01,1.66,3.91,5.10,1.59,3.97,2.32,3.56,3.39,,
August,5.24,3.17,4.95,4.64,4.02,4.98,2.84,4.40,4.23,0.89,,
September,2.25,6.59,1.84,5.62,3.42,2.76,1.09,1.71,5.95,2.10,,
October,10.29,5.21,2.46,8.59,2.85,3.07,7.64,7.04,2.96,8.03,,
November,8.11,2.44,7.88,2.90,4.34,5.47,3.08,4.22,3.48,2.31,,
December,11.08,6.40,6.97,5.11,5.01,6.20,3.67,8.31,5.36,5.21,,
Total,65.96,47.36,46.52,64.64,51.12,47.20,45.08,46.90,46.65,43.39,,
Calc annual,65.96,47.36,46.52,64.64,51.12,47.20,45.08,46.90,46.65,43.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
