FAREHAM-NORTH-BROOK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU586066,Long,-1.16885,Lat,50.85611,Elevation,36,ft,,,,,,,,,,,,
Station no,RR4783,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.7,1.9,2.1,4.75,2.84,4.09,5.41,2.85,3.77,3.67,2.73,2.6,5.6,4.25,1.79,,,,,
February,0.7,2,1.3,0.86,1.18,3.5,5.22,3.62,2.09,2.73,2.43,1.15,1.07,1.44,1.68,,,,,
March,3.7,2.9,4.7,1.12,3.52,1.01,3.08,3.46,1.97,2,1.8,1.23,3.17,3.74,0.14,,,,,
April,0.9,0.3,1.9,0.57,2.86,1.3,1.46,2.41,3.02,1.41,0.19,3.98,1.1,1,1.07,,,,,
May,2.9,1.8,4.3,2.08,1.2,3.46,1.29,1.47,1.54,5.48,1.77,0.5,2.41,1.27,0.65,,,,,
June,7.6,4.1,1.7,3.8,0.86,1.36,2.68,2.93,0.59,2.08,0.17,3.05,3.07,1.73,1.84,,,,,
July,2.5,3.7,1.9,0.94,0.28,5.07,2.03,3.68,0.57,1.18,0.66,4.53,1.18,2.55,1.32,,,,,
August,4,1.4,1.8,3.14,0.53,4.71,2.75,3.52,5.43,0.83,2.42,2.15,2.07,2.28,2.93,,,,,
September,5,3.6,1.6,4.55,4.4,0.25,7.7,2.03,1.19,4.68,1.72,4.93,2.83,2.85,3.44,,,,,
October,3.6,1.4,6.4,4.4,2.1,6.89,2.41,1.82,5.54,3.42,4.37,1.79,4.41,2.88,6.18,,,,,
November,2.2,5.7,2.4,2.57,3.18,4.81,2.77,1.53,1.59,1.39,2.24,1.32,4.89,3.09,1.24,,,,,
December,5.2,1.8,2.3,2.47,1.8,2.66,2.65,1.66,8.7,3.65,4.02,1.84,4.61,0.47,4.75,,,,,
Total,42,30.6,32.4,31.25,24.75,39.11,39.45,30.98,36,32.52,24.52,29.07,36.41,27.55,27.03,,,,,
,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown,,,,,,,,,,,,,,,,,,,,
Observer and his brother were master tanners and the tannery was in Wallington,,,,,,,,,,,,,,,,,,,,
He appears to have lived in S Wallington most of which like the tannery is near sea level,,,,,,,,,,,,,,,,,,,,
NGR is near few houses on higher ground in S Wallington,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1860 Jan Station started,,,,,,,,,,,,,,,,,,,,
Readings taken weekly,,,,,,,,,,,,,,,,,,,,
