SUNNINGHILL-CEDARS,,,,,,,,,,
Grid ref,SU939686,Long,-0.65132028,Lat,51.40866,Elevation,215,ft.,,
Station no,770/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.23,2.87,3.87,1.75,2.82,2.6,2.64
February,,,,2.62,1.45,0.26,3.2,2.61,0.14,2.52
March,,,,2.22,1.03,0.6,1.18,1.74,2.55,1.55
April,,,,0.35,0.3,1.58,0.24,1.23,2.31,0.66
May,,,,2.97,4.51,0.24,1.21,2.22,0.55,1.71
June,,,,4.44,2.89,2.16,1.71,3.89,0.87,1.43
July,,,,2.66,1.26,4.12,3.39,2.04,2.23,2.61
August,,,,2.9,1.2,4.03,3.02,3.4,1.15,3.13
September,,,,2.4,1.8,2.79,3.07,4.1,0.52,2.73
October,,,,2.3,4.27,3.26,1.95,2.44,2.76,7.65
November,,,,4.46,2.14,0.48,2.67,2.37,2.74,4.27
December,,,,2.12,2.5,3.19,2.38,3.46,4.04,2.73
Total,,,,30.67,26.22,26.58,25.77,32.32,22.46,33.63
,,,,,,,,,,
NGR is the Cedars. Stated altitude is little unclear but figure used matches.,,,,,,,,,,
1km from SUNNINGHILL-TITNESS-FARM,,,,,,,,,,
