"INGBIRCHWORTH - 10"" Crossley gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,SE217058,Long,-1.6726926,Lat,53.549092,Elevation,800,ft,,,,,,,,,,,,
Station no,RR2930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,2.52,6.98,1.53,4.03,5.03,4.64,,,,,5.63,3.64,2.26,4.27,1.13,,,
February,,4.85,0.98,2,3.32,2.58,5.12,3.96,,,,,4.16,0.76,1.07,0.72,3.19,,,
March,,5.4,5.11,1.34,3.73,0.69,2.02,3.1,,,,,2.59,3.3,3.74,0.43,5.33,,,
April,,1.98,2.47,1.47,1.85,1.43,1.56,5.02,,,,,4.04,0.62,1.84,0.64,3.96,,,
May,,1.17,3.78,1.89,2.74,2.93,1.73,1.85,,,,,2.72,2.35,1.43,1.82,0.96,,,
June,,2.1,2.68,4.57,1.38,1.16,5.61,2.58,,,,,4,1.75,0.39,5.06,3.54,,,
July,,5.45,2.94,2.06,0.75,2.81,4.84,4.64,,,,,7.24,2.27,1.68,5.85,2.18,,,
August,,1.44,1.88,3.89,1.9,4.08,4.32,2.76,,,,,3.63,2.82,3.29,4,5.73,,,
September,,3.25,3.47,4.1,2.04,0.29,5.89,3.52,,,,,6.1,2.83,2.93,6.35,5.26,,,
October,,1.28,6.96,4.9,6.4,6.8,2.64,2.55,,,,,6.74,3.63,4.6,6.17,2.14,,,
November,,5.14,1.23,3.78,3.18,3.96,5.11,2.03,,,,,5.75,2.77,2.91,5.96,4.43,,,
December,,2.02,2.11,3.22,2.64,1.24,5.6,2.46,,,,,4.69,0.83,2.67,0.55,,,,
Total,,,36.13,40.2,31.46,32,49.47,39.11,,,,,57.29,27.57,28.81,41.82,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1-page-028.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt1-page-047.csv,,,,,,,,,,,,,,,,,,,,
Record notes that 1875 and 1876 are utterley worthless,,,,,,,,,,,,,,,,,,,,
