"SHAFTESBURY",,,,,,,,,,,,
Grid ref,ST860227,Long,-2.200900,Lat,51.003515,,,,,,,
Station no,1631,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.02,3.07,1.07,3.13,3.64,1.25,5.94,0.73,1.36,1.20,,
February,5.47,1.48,1.83,1.39,4.38,0.77,2.87,1.56,1.37,0.58,,
March,1.66,3.32,1.99,3.77,2.02,4.00,1.39,0.79,2.79,4.69,,
April,2.14,1.90,2.04,3.38,1.36,1.66,0.95,4.63,2.13,1.43,,
May,2.24,1.28,2.54,3.04,3.29,0.46,4.75,1.86,1.85,1.22,,
June,3.67,0.99,4.09,3.30,0.75,3.46,2.46,1.99,0.40,3.39,,
July,1.30,1.52,1.78,2.79,2.69,0.38,0.89,1.45,2.09,3.80,,
August,2.29,2.36,4.42,3.96,3.80,4.16,1.35,2.53,2.76,2.63,,
September,0.73,3.12,1.18,2.76,2.09,1.43,0.85,0.60,2.40,2.99,,
October,2.86,2.85,3.42,6.55,3.01,2.05,5.79,8.68,2.08,6.91,,
November,4.18,0.54,4.33,2.18,1.87,3.59,3.58,3.34,0.90,0.71,,
December,5.87,5.94,1.87,3.31,3.29,0.95,1.64,3.62,2.60,4.09,,
Total,36.43,28.37,30.56,39.56,32.19,24.16,32.46,31.78,22.73,33.64,,
Calc annual,36.43,28.37,30.56,39.56,32.19,24.16,32.46,31.78,22.73,33.64,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
