HAVANT-WARBLINGTON-(ST-GEORGES-AVE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU729064,Long,-0.96571,Lat,50.85257,Elevation,22,ft,,,,,,,,,,,,,
Station no,684,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.58,3.04,3.77,4,2.07,5.19,1.41,4.01,2.25,2.78,2.04,,,,,,,
February,,,,5.04,0.54,4.26,1.92,4.22,1.97,1.37,1.43,1.93,0.25,3.25,,,,,,,
March,,,,1.75,1.37,0.33,0.47,2.69,2.05,0.11,1.3,1.12,1.39,2.9,,,,,,,
April,,,,3.68,2.35,2.53,2.36,2,1.97,0.76,2.58,2.93,2.53,1.18,,,,,,,
May,,,,2.73,3.15,3.97,1.64,0.9,1.63,2.19,1.36,2.43,4.06,2.54,,,,,,,
June,,,,0.46,4.02,0.01,2.38,1.58,2.15,1.67,0.49,1.49,1.34,1.63,,,,,,,
July,,,,0.82,2.88,2.81,1.41,2.35,1.44,2.06,2.15,3.33,3.2,1.58,,,,,,,
August,,,,2.33,1.91,4.26,0.98,2.98,2.84,1.77,2.98,3.64,1.19,0.72,,,,,,,
September,,,,2.01,4.29,1.78,0.59,5.28,1.14,0.67,2.59,1.81,2.42,2.54,,,,,,,
October,,,,5.15,4.19,3.04,2.17,2.09,6.86,3.55,2.01,0.59,5.94,1.81,,,,,,,
November,,,,1.28,2.1,3.23,6.03,3.19,2.97,6.92,4.7,3.69,1.47,0.67,,,,,,,
December,,,,3.63,3.65,3.37,0.37,4.46,3.53,6.16,3.05,0.71,0.95,0.74,,,,,,,
Total,,,,30.46,33.49,33.36,24.32,33.81,33.74,28.64,28.65,25.92,27.52,21.6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ardlin St Georges Ave Warblington,,,,,,,,,,,,,,,,,,,,,
Ardlin 400yds NE of Warblington Cottage,,,,,,,,,,,,,,,,,,,,,
1934 Unable to continue due to old age,,,,,,,,,,,,,,,,,,,,,
