PENRITH (ASKHAM HALL),,,,,,,,,,,,
Grid ref,NY515239,Long,-2.752382,Lat,54.607922,,,,,,,
Station no,3689/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.07,5.14,4.97,3.49,5.85,,
February,,,,,,0.50,4.34,6.04,0.48,5.43,,
March,,,,,,2.16,2.44,1.01,2.85,1.31,,
April,,,,,,0.96,0.54,1.18,4.03,3.45,,
May,,,,,,1.85,1.98,5.36,0.93,1.89,,
June,,,,,,1.99,0.95,4.08,4.31,1.63,,
July,,,,,,4.26,4.71,3.07,2.33,4.41,,
August,,,,,,7.74,4.88,3.42,0.53,3.20,,
September,,,,,,3.81,4.37,4.91,1.05,2.67,,
October,,,,,,2.50,3.73,4.09,4.47,3.39,,
November,,,,,,1.84,1.42,0.67,6.26,8.79,,
December,,,,,,5.81,3.33,3.53,7.07,4.76,,
Total,,,,,,36.49,37.83,42.33,37.80,46.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,36.49,37.83,42.33,37.80,46.78,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,,
