ABERFELDY HRS,,,,,,,,,,,,,,,,,,,,
Grid ref,NN858491,Long,-3.8617,Lat,56.6203,Elevation,300,ft,,,,,,,,,,,,
Station no,RR1999,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.83,3.24,6.72,1.12,7.84,2.38,1.25,1.79,0.27,2.96,6.68,5.61,,,,,
February,,,,0.67,2.44,0.42,2.68,3.64,1.33,1.41,6.27,0.87,2.66,7.53,6.63,,,,,
March,,,,1.62,3.47,2.49,,2.14,1.29,3.51,3.08,2,4.2,2.98,4.56,,,,,
April,,,,0.64,1.88,1.37,,4.04,1.07,1.8,2.61,0.17,1.75,1.45,2.18,,,,,
May,,,,2.74,0.97,1.3,,3.14,3.57,1.98,0.55,1.67,2.04,1.15,2.37,,,,,
June,,,,1.55,0.94,1.45,,5.54,2.29,4.3,1.61,1.55,3.01,1.67,3.14,,,,,
July,,,,3.97,4.67,0.87,,2.94,0.2,2.32,2.88,1.75,4.26,6.79,4.09,,,,,
August,,,,2.61,3.68,1.08,,7.05,5.25,5.27,,0.81,2.9,1.3,2.46,,,,,
September,,,,3.21,3.17,2.31,,2.46,3.23,3.39,1.32,1.86,0.68,1.28,1.13,,,,,
October,,,,4.07,5.1,3.09,,5.76,4.35,1.55,,3.94,3.49,3.69,2.56,,,,,
November,,,,1.27,3.26,0.95,,6.91,1.88,1.12,4.98,,4.55,3.03,3.68,,,,,
December,,,,3.41,0.46,4.25,,3.16,2.4,1.04,0.31,,3.7,2.72,3.49,,,,,
Total,,,,32.59,33.28,26.3,,54.62,29.24,28.94,,,36.2,40.27,41.9,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR and elevation found on OS map,,,,,,,,,,,,,,,,,,,,
