"HAYWARDS HEATH BROOK HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4841,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,1.19,2.66,0.71,3.40,,
February,,,,,,,0.29,3.27,1.31,2.99,,
March,,,,,,,3.38,4.81,0.78,1.04,,
April,,,,,,,0.56,2.15,0.97,2.88,,
May,,,,,,,0.30,1.31,3.50,1.69,,
June,,,,,,,2.78,1.54,2.33,1.78,,
July,,,,,,,2.19,0.78,0.39,1.69,,
August,,,,,,,1.45,3.43,1.08,0.60,,
September,,,,,,,6.41,2.74,0.66,2.53,,
October,,,,,,,4.00,0.22,3.57,2.25,,
November,,,,,,,1.53,1.44,3.88,5.92,,
December,,,,,,,4.19,3.85,2.68,1.76,,
Total,,,,,,,28.27,28.20,21.86,28.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.27,28.20,21.86,28.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
