"HAYWARDS HEATH BROOK HOUSE",,,,,,,,,,,,
Grid ref,TQ3575129322,Long,-0.064777,Lat,51.047216,,,,,,,
Station no,RR4841,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.16,1.21,1.13,2.70,5.12,1.66,5.61,1.24,1.87,1.49,,
February,5.47,2.18,1.30,1.47,3.90,0.76,2.95,1.66,1.53,0.53,,
March,0.89,2.51,1.72,3.09,1.24,4.22,1.66,1.12,3.21,4.08,,
April,1.09,2.69,1.03,2.41,1.13,2.40,0.75,3.95,2.18,1.61,,
May,0.85,0.88,2.70,2.41,3.75,0.61,2.26,2.09,2.05,1.64,,
June,3.27,1.43,3.65,4.02,1.06,4.28,1.74,1.72,1.64,2.79,,
July,1.61,2.96,1.42,4.20,0.94,0.41,1.90,0.93,3.17,3.22,,
August,2.12,1.25,4.90,3.95,1.52,2.99,0.51,1.87,4.27,2.71,,
September,1.25,1.77,0.86,3.17,2.04,2.24,1.12,0.60,1.44,3.36,,
October,2.12,3.11,2.45,7.65,2.49,2.06,5.23,4.83,1.83,7.53,,
November,3.82,0.65,3.27,2.05,1.57,5.73,6.27,2.34,1.54,1.42,,
December,3.75,5.23,1.89,2.23,3.74,0.75,2.31,3.31,3.87,4.91,,
Total,30.40,25.87,26.32,39.35,28.50,28.11,32.31,25.66,28.60,35.29,,
Calc annual,30.40,25.87,26.32,39.35,28.50,28.11,32.31,25.66,28.60,35.29,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
