SHERBORNE-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST636166,Long,-2.51858,Lat,50.94769,Elevation,200,ft,,,,,,,,,,,,
Station no,RR6705,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.32,6.87,2.09,2.68,0.65,2.96,1.6,3.88,,,,,,
February,,,,,,,2.78,1.54,1.59,3.97,4.54,4.24,1.95,5.58,,,,,,
March,,,,,,,3.24,1.82,1.56,0.35,1.14,2.2,1.94,1.45,,,,,,
April,,,,,,,2.56,2.73,4.05,3.28,1.89,1.57,6,1.29,,,,,,
May,,,,,,,0.49,3.08,4.41,3,1.69,0.95,2.55,1.37,,,,,,
June,,,,,,,1.89,1.34,2.02,5.14,1.98,3.09,4.12,4.31,,,,,,
July,,,,,,,1.1,2.82,1.77,3.38,4.51,2.1,4.07,2.41,,,,,,
August,,,,,,,4.12,3.06,3.69,5.19,1.17,6.01,2.58,1.49,,,,,,
September,,,,,,,5.3,3.01,1.36,3.62,4.02,2.11,2.78,5.09,,,,,,
October,,,,,,,1.87,2.18,4.05,1.15,5.47,1.54,6.49,3.48,,,,,,
November,,,,,,,3.93,8.39,2.56,0.35,2.84,4.21,4.49,4.22,,,,,,
December,,,,,,,8.54,1.58,2.54,0.71,3.88,3.64,3.73,0.66,,,,,,
Total,,,,,,,37.14,38.42,31.69,32.82,33.78,34.62,42.3,35.23,,,,,,
