NORTHWOOD-MURRAY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ092911,Long,-0.42446357,Lat,51.608155,Elevation,240,ft.,,,,,,,,,,,,
Station no,RR7920,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.12,4.56,0.94,1.79,0.74,2.35,1.34,3.74,2.87,,,,,,
February,,,,,,0.74,2.25,1.54,1.5,0.45,3.53,1.81,2.04,0.9,,,,,,
March,,,,,,3.78,1.56,1.06,3.27,3.3,1.12,1.55,3.58,2.23,,,,,,
April,,,,,,2.03,0.51,3.39,2.91,1.94,1.37,1.6,0.12,2.96,,,,,,
May,,,,,,0.7,1.47,1.57,1.38,1.3,2.34,2.04,1.64,1.29,,,,,,
June,,,,,,4.09,2.3,1.78,1.86,3.13,2.84,2.32,2.4,0.4,,,,,,
July,,,,,,1.08,1.83,1.68,3.78,3.1,1.97,0.49,1.57,1.69,,,,,,
August,,,,,,2.96,1.19,1.87,3.03,1.86,3.61,1.16,5.44,1,,,,,,
September,,,,,,1.57,1.48,0.72,1.5,2.48,0.48,1.3,2.6,1.17,,,,,,
October,,,,,,1.12,4.32,4.51,2.6,4.73,3.01,3.02,2.54,3.84,,,,,,
November,,,,,,3.36,3.95,2.56,0.84,0.89,3.6,3.38,1.95,2.48,,,,,,
December,,,,,,1.22,2.89,3.67,2.46,3.14,4.45,5.34,3.2,0.94,,,,,,
Total,,,,,,23.77,28.31,25.29,26.92,27.06,30.67,25.35,30.82,21.77,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Murray Road with stated relationship to station. Altitudes match.,,,,,,,,,,,,,,,,,,,,
