PEAK-FOREST-MIDDLE-HILL,,,,,,,,,,
Grid ref,SK102772,Long,-1.8484434,Lat,53.291667,Elevation,1080,ft.,,
Station no,2681/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.11,5.04,2.01,4.24,,7.24,3.13,4.5,3.34,6.85
February,4.81,2.98,,3.8,,1.64,3.5,7,0.79,3.08
March,6.11,2.2,2.72,3.81,,1.72,3.48,2.15,2.24,2.01
April,4,4.29,3.49,0.76,2.04,1.85,0.4,1.4,3.16,1.99
May,2.41,4.38,1.99,2.99,4.7,1.11,1.85,4,0.67,2.12
June,1.47,2.55,3.39,2.96,3.08,3.14,1.61,5.4,1.84,2.01
July,2.28,2.64,4.87,5.51,1,6.37,4.61,7,2.94,5.48
August,5,2.02,4.52,5.59,0.66,9.18,7.91,3.25,0.72,4.51
September,2.99,4.39,2.78,5.02,1.99,3.9,8,6,0.24,4.76
October,1.29,5.62,2.28,7.17,3.47,2.5,3.91,5,4.16,
November,10.97,3.28,2.59,7.59,3.14,1.91,2.31,1.75,5.02,6.25
December,6.57,4.02,2,6.37,4.22,6.49,5.05,4.45,7.06,5.1
Total,53.01,43.41,,55.81,,47.05,45.76,51.9,32.18,
,,,,,,,,,,
NGR is from the 1950s record and is near Middle Hill. Altitudes match,,,,,,,,,,
