PEAK FOREST,,,,,,,,,,,,
Grid ref,SK102772,Long,-1.848443,Lat,53.291667,,,,,,,
Station no,2681/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.11,5.04,2.01,4.24,3.34,7.24,3.13,4.50,3.34,6.85,,
February,4.81,2.98,3.20,3.80,3.25,1.64,3.50,7.00,0.79,3.08,,
March,6.11,2.20,2.72,3.81,3.50,1.72,3.48,2.15,2.24,2.01,,
April,4.00,4.29,3.49,0.76,2.04,1.85,0.40,1.40,3.16,1.99,,
May,2.41,4.38,1.99,2.99,4.70,1.11,1.85,4.00,0.67,2.12,,
June,1.47,2.55,3.39,2.96,3.08,3.14,1.61,5.40,1.84,2.01,,
July,2.28,2.64,4.87,5.51,1.00,6.37,4.61,7.00,2.94,5.48,,
August,5.00,2.02,4.52,5.59,0.66,9.18,7.91,3.25,0.72,4.51,,
September,2.99,4.39,2.78,5.02,1.99,3.90,8.00,6.00,0.24,4.76,,
October,1.29,5.62,2.28,7.17,3.47,2.50,3.91,5.00,4.16,6.79,,
November,10.97,3.28,2.59,7.59,3.14,1.91,2.31,1.75,5.02,6.25,,
December,6.57,4.02,2.00,6.37,4.22,6.49,5.05,4.45,7.06,5.10,,
Total,53.01,43.41,35.84,55.81,34.39,47.05,45.76,51.90,32.18,50.95,,
Calc annual,53.01,43.41,35.84,55.81,34.39,47.05,45.76,51.90,32.18,50.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
