"MONKTON, ORANGEFIELD",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS358270,Long,-4.6017078,Lat,55.509084,Elevation,30,ft,,,,,,,,,,,,,
Station no,5221,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.56,3.45,5.13,6.54,1.26,4.23,3.94,5.37,2.25,3.87,1.66,,,,,
February,,,,,,3.72,3.5,1.53,3.14,1.64,0.18,3.25,0.01,2.08,0.46,4.11,,,,,
March,,,,,,2.52,2.56,2.35,1.15,1.01,2.33,0.82,2.54,2.51,2.05,1.85,,,,,
April,,,,,,3.03,1.67,3.12,0.87,1.66,1.99,1.29,2.71,1.7,2.26,2.34,,,,,
May,,,,,,6.08,2.39,1.99,1.17,2.62,1.14,2.12,2.88,2,3.23,0.73,,,,,
June,,,,,,0.39,1.32,3.57,2.94,3.06,2.61,5.26,1.49,2.03,2.19,3.1,,,,,
July,,,,,,2.45,3.42,2.69,2.2,5.26,2.51,4.44,3.74,3.23,1.93,0.88,,,,,
August,,,,,,2.61,3.01,3.76,3.26,6.18,5.47,1.54,1.38,2.45,2.55,2.21,,,,,
September,,,,,,3.19,3.15,5.3,3.46,1.5,3.37,0.96,4.85,1.28,3.46,4.83,,,,,
October,,,,,2.86,3.05,4.88,4.48,4.65,5.31,5.83,3.47,4.8,2.59,6.64,5.75,,,,,
November,,,,,2.38,1.12,3.86,3.99,4.8,5.05,4.99,6.09,3.36,1.49,0.7,3.85,,,,,
December,,,,,4.06,3.49,1.46,0.77,2.52,7.44,3.52,3.24,6.45,1.38,4.3,2.87,,,,,
Total,,,,,,34.21,34.67,38.68,36.7,41.99,38.17,36.42,39.58,24.99,33.64,34.18,,,,,
